ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
BCM,2020,2,27728104287365,439344478331,139994890410,3648799067034,23450536261668,49429589922,16693745791645,1852756147755,654928788320,10237306140157,602614108511,44421850079010,28659092095072,22952427813961,5706664281111,15762757983938,15762757983938,15782352988,3434599578574,1078783847462,44421850079010,261870341661,5500000000,23480872760606,1056566951458,10350000000000,10350000000000,4905636842894,2144905093483,9424160980285,48469505,290943981099,248169220800,26148910222,379221560363,VCI,quarterly
BCM,2020,1,28341743840915,320329774324,334794890410,4080088751919,23555353949367,51176474895,15682758571988,1812848863571,659495259772,10174519323443,654114130023,44024502412903,27971524956924,21929418687891,6042106269033,16052977455979,16052977455979,11940102491,4438354659870,1118586677884,44024502412903,289290417024,5500000000,23567983913085,307070762278,10350000000000,10350000000000,5284203623570,2248634699521,9102445279258,53316456,301244003474,250169220800,27253549026,312570808375,VCI,quarterly
BCM,2019,4,28451207199497,405819520415,337794890410,4875668257295,22804942807557,26981723820,15050535434825,1844877030824,664046496612,9341870554590,710183535461,43501742634322,28491982107031,22298104510726,6193877596305,15009760527291,15009760527291,11940102491,3396304524255,1121921069279,43501742634322,276821895533,5500000000,22804942807557,302569577810,10350000000000,10350000000000,5510704845436,2392162369520,9037001815644,58163406,304671349316,250169220800,30554542614,451673541640,VCI,quarterly
BCM,2019,3,29749085164291,1066552616510,755454261741,4396118710658,23382018526466,148941048916,14636137412855,1851606532127,636681168291,8884582110595,718044252615,44385222577146,29964297678739,19912076213275,10052221465464,14420924898407,14420924898407,11940102491,2811587752229,1120243530324,44385222577146,360012847724,5500000000,23382018526466,300128259907,10350000000000,10350000000000,9611755365974,2601529229051,7889982503065,63010356,320056667528,250169220800,40382063009,431938072482,VCI,quarterly
BCM,2019,2,30551994690962,2560880189633,479660850645,4442880532031,23002129385853,66443732800,14490765127702,1541233128817,641227405131,9089541618348,723591706301,45042759818664,31068793650674,21039147621777,10029646028897,13973966167990,13973966167990,12207237696,2609532426030,1098688046595,45042759818664,344435751270,20500000000,23002129385853,300702204213,10125811000000,10125811000000,9669183607087,2524478790709,8888017605058,67857307,325599390854,250169220800,28209066233,384711518876,VCI,quarterly
BCM,2019,1,30275437884152,2687249616450,479023879195,4894140362392,22123203234499,91820791616,14318987177216,1705812444007,645773641971,8652190791222,737346069400,44594425061368,30706271958689,19677550918215,11028721040474,13888153102679,13888153102679,19478891781,2509873944045,1220460243994,44594425061368,437280218635,25500000000,22123323967631,290418636603,10125811000000,10125811000000,10650960959463,2769047020572,8966703813025,72704257,339340165159,250169220800,28695815292,449714516006,VCI,quarterly
BCM,2018,4,30378937359633,2572638405384,430703879195,6128914481787,21180701127163,65979466104,14250254417755,1730245093572,658903771183,8343999360056,838820466792,44629191777388,32030073593793,23165569694426,8864503899367,12599118183595,12599118183595,28534403731,1313280084211,1061080978735,44629191777388,951037887837,25500000000,21180919926951,346578187481,10125811000000,10125811000000,8355935143352,2008091859658,11299245422978,77551207,353999952759,321227832732,27173225089,516326629975,VCI,quarterly
BCM,2018,3,37552312217689,2775776914486,452113879195,6597370463565,27651715576191,75335384252,16113494470071,1733894083792,1172948065217,9727437529825,850260440130,53665806687760,40726994836467,25664211096576,15062783739891,12938811851293,12938811851293,27114313476,882855360420,1058566984736,53665806687760,247127872300,25500000000,27654684337335,252142171621,10125811000000,10125811000000,14251671995229,2308079519016,8020077319856,82398157,365915483044,277457832732,20979694934,491062905991,VCI,quarterly
BCM,2018,2,38104274165596,2806329344741,451345020545,6868665321060,27928313511937,49620967313,15588468928990,1823210319343,676169924708,9705741526522,868437549734,53692743094586,40884905836077,25478023102974,15406882733103,12807837258509,12807837258509,27114313476,706363275511,1095999802302,53692743094586,221556806095,25500000000,27931391705672,256552846180,10125811000000,10125811000000,14613778423170,2024480171004,8253043018472,87245107,384082218913,277457832732,19845444003,379147161572,VCI,quarterly
BCM,2018,1,36967011864118,2042956507062,602773879195,6811633574309,27417443626256,92204277296,14383508457808,1565895839089,706178140856,8818968526344,531172816418,51350520321926,40276122502242,25688018916210,14588103586032,11074397819684,11074397819684,27114313476,-146881179063,1157991582619,51350520321926,170997789001,25500000000,27420408817394,703580205272,7951756326147,7951756326147,13318618929941,1301005222245,8023042227401,92092058,56911498470,113131030000,2211274133,969388020659,VCI,quarterly
