ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
BCM,2020,2,369173576883.0,58434567509.0,28344290183.0,-176923.0,-341951031650.0,140143495095.0,234427825189.0,211118837134.0,-741415359463.0,426370135671.0,6683038720.0,-43150948474.0,-5002160193.0,-927740000.0,-11929642837.0,76173985747.0,-46402706286.0,4147569410.0,94500000000.0,132150000000.0,0.0,2000000000.0,-32387137765.0,154007725359.0,0.0,0.0,1345727162359.0,-1398243952396.0,-58650393985.0,-111167184022.0,119014527084.0,320329774324.0,176923.0,439344478331.0,VCI,quarterly
BCM,2020,1,364389589925.0,57967216495.0,-18272768.0,176923.0,-3955992950.0,131582323236.0,549965040861.0,401462602411.0,-672599100418.0,136056790809.0,-4434977943.0,-213179441643.0,-112674156491.0,927740000.0,-21510623787.0,64013873799.0,-32831748085.0,0.0,-94500000000.0,86000000000.0,0.0,0.0,48169278001.0,6837529916.0,0.0,0.0,790504843614.0,-956983015882.0,-767014015.0,-167245186283.0,-96393782568.0,416723733815.0,-176923.0,320329774324.0,VCI,quarterly
BCM,2019,4,1033819211105.0,58351369447.0,23108572881.0,30100811.0,-501622930311.0,154072412814.0,767758736747.0,1359210810563.0,-1796819988166.0,1459721963971.0,17816589389.0,438640120565.0,-32443203580.0,2503770000.0,15783940799.0,2227210655710.0,-60518219135.0,759202061.0,451513411096.0,-49413779162.0,-515549640000.0,-382754717976.0,361898085408.0,-194065657708.0,-193203419146.0,0.0,3155399247470.0,-5476024428933.0,-180019392677.0,-2693847993286.0,-660702995284.0,1066552616510.0,-30100811.0,405819520415.0,VCI,quarterly
BCM,2019,3,562383304842.0,63728999842.0,488954103.0,568800.0,-43741548057.0,167336178299.0,784146740930.0,238493747865.0,-82654965237.0,-51373123673.0,-7140897384.0,-757957093660.0,-101357242398.0,3868510400.0,-32454066670.0,-7054231479.0,-34987953415.0,-1900859271.0,-521983411096.0,412690000000.0,-210000000000.0,360063550135.0,-117013639255.0,-113132312902.0,193203419146.0,0.0,861116794881.0,-1869878177019.0,-558582496950.0,-1374140459942.0,-1494327004323.0,2560880189633.0,-568800.0,1066552616510.0,VCI,quarterly
BCM,2019,2,724387018151.0,49820481497.0,-551836457.0,-568800.0,-356412763694.0,178042755115.0,616446926479.0,203867717688.0,-1078189996625.0,257267045757.0,42083939118.0,-280768277753.0,-101000632745.0,-27521480201.0,359971193243.0,-2950536489.0,-25242004749.0,4514497907.0,87470000000.0,-88000000000.0,0.0,527350449103.0,389375110633.0,895468052894.0,-32413520000.0,0.0,2332502773609.0,-3318976765631.0,0.0,-1018887512022.0,-126369995617.0,2687249616450.0,568800.0,2560880189633.0,VCI,quarterly
BCM,2019,1,700454135779.0,54037441127.0,-30000000.0,568800.0,-465926682012.0,182082028273.0,415505368199.0,822156571325.0,-630378781741.0,11665432249.0,11488419252.0,-138080294756.0,-129108189452.0,27521480201.0,-405206370075.0,-14436364798.0,-32567742033.0,26109945.0,-148000000000.0,93000000000.0,0.0,0.0,100545039966.0,13003407878.0,32413520000.0,0.0,1245785708437.0,-1167138136206.0,0.0,111061092231.0,109628135311.0,2577622049939.0,-568800.0,2687249616450.0,VCI,quarterly
BCM,2018,4,1061094863821.0,50881752637.0,14173792594.0,-244663913.0,-94682894937.0,175197234272.0,1206420084474.0,332648097136.0,6525214694970.0,-7100895940666.0,48741513201.0,-146809495603.0,-18215730585.0,1107690000.0,-3698158180403.0,-2849344946916.0,445464702605.0,-439579843.0,-82220000000.0,105510000000.0,-88922132185.0,0.0,1627500356849.0,2006893347426.0,6204460000.0,0.0,2486615616336.0,-1814541069021.0,-39210580840.0,639068426475.0,-203383173015.0,2775776914486.0,227082450.0,2572620823921.0,VCI,quarterly
BCM,2018,3,444474318042.0,45902897569.0,75085454732.0,-15366411.0,490239651265.0,164784321330.0,1164491925166.0,291352466069.0,452493328112.0,664703892385.0,-12793896385.0,-495051268703.0,-94537966530.0,3872338000.0,-1321670097064.0,652860721050.0,-613188752621.0,-86053646819.0,-251320000000.0,78070000000.0,0.0,3280000000.0,172736364434.0,-696476035006.0,4300000000.0,0.0,1322329400274.0,-1090605024619.0,-201732998656.0,34291376999.0,-9323936957.0,2785096731279.0,4120164.0,2775776914486.0,VCI,quarterly
BCM,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
BCM,2018,1,503624209052.0,38270695905.0,2872268384.0,-238164225.0,4996810745.0,150307406643.0,699833226504.0,-388318214960.0,-37075655943.0,227277464458.0,11850017161.0,-335631075207.0,-55042040128.0,339480760886.0,-514307104642.0,-51932621871.0,-27187038354.0,218181816.0,-53300000000.0,54390000000.0,-450255953108.0,0.0,48113794875.0,-428021014771.0,-4637636423.0,0.0,1654861209344.0,-1726990536429.0,-2137294400.0,-78904257908.0,-558857894550.0,2601814401612.0,0.0,2042956507062.0,VCI,quarterly
