ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
CTG,2018,1,1114094907000000,6458767000000,14178763000000,104458035000000,4331351000000,4355055000000,-23704000000,651838000000,816310042000000,826357266000000,-10047224000000,118456926000000,116258348000000,2726748000000,-528170000000,3214509000000,2805312000000,412645000000,-3448000000,11262193000000,6253885000000,5008308000000,34772483000000,1114094907000000,1047923020000000,28084689000000,111967071000000,789272736000000,0,6500627000000,22501764000000,89596133000000,66171887000000,46208756000000,7484222000000,569484000000,11603442000000,0,37234046000000,0,305983000000,VCI,yearly
CTG,2017,4,1095022339000000,5979830000000,20756531000000,107505056000000,3528982000000,3602443000000,-73461000000,528762000000,782385040000000,790688059000000,-8303019000000,128389636000000,125756532000000,5133392000000,-2500288000000,3114101000000,2704255000000,412645000000,-2799000000,11436527000000,6386736000000,5049791000000,31397874000000,1095022339000000,1031336939000000,15206899000000,115655865000000,752370223000000,0,6426742000000,22501773000000,119175437000000,63685400000000,46208756000000,7465123000000,550601000000,9165251000000,0,37234046000000,0,295669000000,VCI,yearly
CTG,2017,3,1062291875000000,6375509000000,21320447000000,92536624000000,9007324000000,9065251000000,-57927000000,346083000000,753886890000000,763162857000000,-9275967000000,134021142000000,128893650000000,10804856000000,-5677364000000,3239497000000,2811851000000,430445000000,-2799000000,10275456000000,6112979000000,4162477000000,31282903000000,1062291875000000,1000011803000000,30734153000000,113113780000000,725041404000000,0,6460570000000,18302221000000,106359675000000,62280072000000,46208756000000,6433568000000,564639000000,8796990000000,0,37234046000000,0,276119000000,VCI,yearly
CTG,2017,2,1035620544000000,6380043000000,16210207000000,107779682000000,9818635000000,9890844000000,-72209000000,411572000000,721967181000000,730050316000000,-8083135000000,129430973000000,123578024000000,11041106000000,-5188157000000,3179094000000,2751448000000,430445000000,-2799000000,10276171000000,6130965000000,4145206000000,30166986000000,1035620544000000,975300484000000,25770825000000,119223170000000,692930741000000,0,6505687000000,18302672000000,112567389000000,60320060000000,46208767000000,6378915000000,560079000000,6897572000000,0,37234046000000,0,274727000000,VCI,yearly
CTG,2017,1,987383026000000,5918079000000,21590976000000,87317146000000,4592492000000,4648189000000,-55697000000,311326000000,690325740000000,697742411000000,-7416671000000,132935824000000,125238026000000,11712637000000,-4014839000000,3235923000000,2808052000000,430445000000,-2574000000,10420417000000,6263709000000,4156708000000,30735103000000,987383026000000,928919393000000,30979362000000,110412210000000,666327688000000,0,6417774000000,23870675000000,90911684000000,58463633000000,46208767000000,6366280000000,490499000000,5130282000000,0,37234046000000,0,267805000000,VCI,yearly
CTG,2016,4,948699076000000,5187131000000,13502594000000,94469281000000,1894690000000,1974670000000,-79980000000,682690000000,655125731000000,661987797000000,-6862066000000,134226686000000,125238894000000,12078021000000,-3090229000000,3203596000000,2775725000000,430445000000,-2574000000,10615329000000,6422482000000,4192847000000,29791348000000,948699076000000,885726893000000,4808417000000,85151867000000,654422705000000,0,6712911000000,23849453000000,110781540000000,62972183000000,46208767000000,6361723000000,478835000000,9662525000000,0,37234046000000,0,260333000000,VCI,yearly
CTG,2016,3,900754353000000,5448406000000,14452478000000,79086786000000,5912331000000,6028888000000,-116557000000,531744000000,618512355000000,625406860000000,-6894505000000,134288048000000,125380207000000,12703095000000,-3795254000000,3313966000000,2721347000000,595598000000,-2979000000,8483767000000,4266029000000,4217738000000,30724472000000,900754353000000,839453672000000,4936219000000,67360857000000,625486042000000,0,7859228000000,19985882000000,113825444000000,61300681000000,46208767000000,5337070000000,433491000000,9069773000000,0,37234046000000,0,251580000000,VCI,yearly
CTG,2016,2,850209814000000,5192530000000,20574590000000,81757505000000,1711359000000,1798704000000,-87345000000,164947000000,586830459000000,592866483000000,-6036024000000,113221703000000,103737797000000,12668814000000,-3184908000000,3268750000000,2676131000000,595598000000,-2979000000,8602198000000,4365854000000,4236344000000,28885773000000,850209814000000,790698411000000,4695138000000,88102101000000,576364532000000,0,26491022000000,20462919000000,74582699000000,59511403000000,46208778000000,5283763000000,426801000000,7344844000000,0,37234046000000,0,247217000000,VCI,yearly
CTG,2016,1,791737399000000,4891359000000,19326606000000,64102464000000,212198000000,238802000000,-26604000000,76370000000,547865959000000,553392731000000,-5526772000000,114699659000000,104044888000000,12928649000000,-2273878000000,3822574000000,2723499000000,1120954000000,-21879000000,8614633000000,4343956000000,4270677000000,28125577000000,791737399000000,733719657000000,4045940000000,104462465000000,503441169000000,0,55146270000000,16214641000000,50409172000000,58017742000000,46208778000000,5274808000000,411484000000,5876090000000,0,37234046000000,0,246582000000,VCI,yearly
CTG,2015,4,779483487000000,5090768000000,11892969000000,66018789000000,3346354000000,3373406000000,-27052000000,0,533530118000000,538079829000000,-4549711000000,120024229000000,108940288000000,12928649000000,-1844708000000,3892314000000,2782845000000,1131164000000,-21695000000,8665767000000,4374977000000,4290790000000,27022179000000,779483487000000,723373341000000,13227115000000,99169216000000,492960064000000,117619000000,54237247000000,20860497000000,42801583000000,55867720000000,46208778000000,5275032000000,441537000000,3942373000000,242426000000,37234046000000,0,0,VCI,yearly
