ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MSN,2020,2,311395000000.0,1048451000000.0,225176000000.0,-18504000000.0,0.0,-1064978000000.0,921542000000.0,0.0,1423082000000.0,-32916000000.0,-625577000000.0,-172038000000.0,-22878000000.0,-1078869000000.0,-22713000000.0,0.0,-716000000.0,-44417000000.0,-205677000000.0,2963000000.0,422500000000.0,212667000000.0,-21283924000000.0,10500000000000.0,480895000000.0,-9870576000000.0,17167000000.0,0.0,25870791000000.0,-14963084000000.0,0.0,-30002000000.0,10894872000000.0,979879000000.0,3711237000000.0,4395000000.0,4695511000000.0,VCI,quarterly
MSN,2020,1,-60255000000.0,1062519000000.0,53562000000.0,20875000000.0,0.0,-601249000000.0,714822000000.0,0.0,1190274000000.0,124826000000.0,-343000000.0,35223000000.0,33252000000.0,-721212000000.0,-369637000000.0,0.0,0.0,276309000000.0,-954810000000.0,4283000000.0,-2349800000000.0,677300000000.0,-8974781000000.0,0.0,92473000000.0,-11505335000000.0,0.0,0.0,19492967000000.0,-11348345000000.0,0.0,0.0,8144622000000.0,-3084404000000.0,6800528000000.0,-4887000000.0,3711237000000.0,VCI,quarterly
MSN,2019,4,2021203000000.0,682257000000.0,38427000000.0,837000000.0,0.0,-1482871000000.0,503017000000.0,0.0,1762870000000.0,2501240000000.0,70958000000.0,120408000000.0,151341000000.0,-325210000000.0,-183217000000.0,0.0,-4833000000.0,3762953000000.0,102534000000.0,-1175623000000.0,-275700000000.0,231700000000.0,-3293733000000.0,189906000000.0,68116000000.0,-4152800000000.0,-60000000.0,0.0,8152938000000.0,-8322716000000.0,0.0,-299000000.0,-170137000000.0,-559984000000.0,7359376000000.0,1136000000.0,6800528000000.0,VCI,quarterly
MSN,2019,3,2667288000000.0,687092000000.0,21156000000.0,-971000000.0,0.0,-645535000000.0,530511000000.0,0.0,3259541000000.0,-1799332000000.0,-12366000000.0,163063000000.0,-40264000000.0,-607319000000.0,-106623000000.0,0.0,6000000.0,751706000000.0,-991034000000.0,1211367000000.0,-156820000000.0,0.0,-9000000.0,22224000000.0,98914000000.0,184642000000.0,213453000000.0,0.0,8755558000000.0,-7115214000000.0,0.0,-237764000000.0,1616033000000.0,2552381000000.0,4813696000000.0,-6701000000.0,7359376000000.0,VCI,quarterly
MSN,2019,2,1275358000000.0,697788000000.0,27295000000.0,-9952000000.0,0.0,-584226000000.0,489198000000.0,0.0,1895461000000.0,-430681000000.0,-395563000000.0,1172081000000.0,-33312000000.0,-285475000000.0,-115978000000.0,0.0,1803000000.0,1771806000000.0,-1245954000000.0,1678000000.0,-5600000000.0,632548000000.0,-3624000000.0,0.0,76371000000.0,-544581000000.0,57969000000.0,0.0,6704278000000.0,-6138188000000.0,0.0,-128380000000.0,495679000000.0,1722904000000.0,3082541000000.0,8251000000.0,4813696000000.0,VCI,quarterly
MSN,2019,1,1141241000000.0,681447000000.0,22672000000.0,3520000000.0,0.0,-502051000000.0,488249000000.0,0.0,1835078000000.0,464035000000.0,-1292405000000.0,-1259580000000.0,-62763000000.0,-669872000000.0,-194942000000.0,0.0,-1891000000.0,-1182340000000.0,-1043979000000.0,1111000000.0,-726700000000.0,370000000000.0,-167723000000.0,0.0,68588000000.0,-1498703000000.0,0.0,0.0,6598598000000.0,-5399269000000.0,0.0,-24002000000.0,1175327000000.0,-1505716000000.0,4585889000000.0,2368000000.0,3082541000000.0,VCI,quarterly
MSN,2018,4,1439469000000.0,699760000000.0,70773000000.0,-10455000000.0,0.0,-605364000000.0,630832000000.0,0.0,2225015000000.0,-648090000000.0,513399000000.0,188094000000.0,-26901000000.0,-671630000000.0,-246305000000.0,0.0,-2980000000.0,1330602000000.0,-745089000000.0,1202000000.0,-234000000000.0,765300000000.0,-17693000000.0,152000000.0,143569000000.0,-86559000000.0,10741405000000.0,0.0,5820814000000.0,-18176514000000.0,0.0,-21000000.0,-1614316000000.0,-370273000000.0,4954786000000.0,1376000000.0,4585889000000.0,VCI,quarterly
MSN,2018,3,1097256000000.0,662293000000.0,22844000000.0,-5809000000.0,0.0,-535982000000.0,757024000000.0,0.0,1997626000000.0,-226038000000.0,31135000000.0,901059000000.0,27795000000.0,-779635000000.0,-159510000000.0,0.0,-2000000.0,1792430000000.0,-753598000000.0,1388000000.0,-327500000000.0,-300000000.0,-677961000000.0,0.0,45117000000.0,-1712854000000.0,52408000000.0,0.0,6737202000000.0,-7209958000000.0,0.0,-226354000000.0,-646702000000.0,-567126000000.0,5518646000000.0,3266000000.0,4954786000000.0,VCI,quarterly
MSN,2018,2,2535069000000.0,682650000000.0,14120000000.0,16977000000.0,0.0,-2005644000000.0,743283000000.0,0.0,1986455000000.0,26284000000.0,-42582000000.0,-426688000000.0,-60071000000.0,-661640000000.0,-115752000000.0,0.0,-3929000000.0,702077000000.0,-463613000000.0,3525000000.0,-71198000000.0,741898000000.0,0.0,0.0,80908000000.0,291520000000.0,134048000000.0,0.0,6511129000000.0,-6413478000000.0,-6087000000.0,-88336000000.0,137276000000.0,1130873000000.0,4391061000000.0,-3288000000.0,5518646000000.0,VCI,quarterly
MSN,2018,1,1172030000000.0,660515000000.0,15355000000.0,8146000000.0,0.0,-591927000000.0,757229000000.0,0.0,2021348000000.0,113658000000.0,-578717000000.0,-52423000000.0,-26860000000.0,-756497000000.0,-154414000000.0,0.0,-75000000.0,566020000000.0,-676166000000.0,4117000000.0,-1026562000000.0,507083000000.0,-1612925000000.0,379584000000.0,66162000000.0,-2358707000000.0,0.0,0.0,4574235000000.0,-4814894000000.0,-2939000000.0,-989663000000.0,-1233261000000.0,-3025948000000.0,7417111000000.0,-102000000.0,4391061000000.0,VCI,quarterly
