ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MSN,2016,3,0.28172277691490316,11443435000000,813228000000,2.6874064803982916,168708000000,-842244000000,11443435000000,-436703000000,11006732000000,-7724908000000,3281824000000,-860218000000,314673000000,-1194561000000,-476922000000,1233504000000,358000000,0,-6616000000,-6258000000,1227246000000,-198402000000,24690000000,1053534000000,240306000000,813228000000,VCI,quarterly
MSN,2016,2,0.54437293861889,10808050000000,780988000000,1.1725975875728847,163764000000,-709454000000,10808050000000,-435330000000,10372720000000,-7210329000000,3162391000000,-729138000000,246933000000,-1173528000000,-377210000000,1293212000000,5762000000,0,-22145000000,-16383000000,1276829000000,-211419000000,21285000000,1086695000000,305707000000,780988000000,VCI,quarterly
MSN,2016,1,1.5426800967962109,9220203000000,253342000000,57.186035829122645,218023000000,-688439000000,9220203000000,-451577000000,8768626000000,-6356479000000,2412147000000,-733046000000,143092000000,-997539000000,-519689000000,522988000000,1896000000,0,-9606000000,-7710000000,515278000000,-171775000000,49991000000,393494000000,140152000000,253342000000,VCI,quarterly
MSN,2015,4,1.2015927069566195,11772187000000,893925000000,-0.35478806907378335,482448000000,-725717000000,11772187000000,-272416000000,11499771000000,-7811393000000,3688378000000,-726773000000,120258000000,-1406512000000,-512093000000,1645706000000,2407000000,0,-13513000000,-11106000000,1634600000000,-316410000000,42977000000,1361167000000,467242000000,893925000000,VCI,quarterly
MSN,2015,3,1.2011068441358044,8928167000000,220542000000,6.86975449614616,348478000000,0,8928167000000,-213356000000,8714811000000,-6118824000000,2595987000000,-818888000000,126979000000,-1096706000000,-445715000000,710135000000,8787000000,0,-36074000000,-27287000000,682848000000,-204128000000,14526000000,493246000000,272704000000,220542000000,VCI,quarterly
MSN,2015,2,0.6704747396604743,6998342000000,359472000000,2.585511836028987,408464000000,-970889000000,6998342000000,-168892000000,6829450000000,-4488102000000,2341348000000,-649731000000,148525000000,-1109468000000,-387102000000,752036000000,11010000000,0,-11399000000,-389000000,751647000000,-168332000000,32133000000,615448000000,255976000000,359472000000,VCI,quarterly
MSN,2015,1,0.3167880926849161,3626175000000,4354000000,1.0408415957676325,142913000000,-399634000000,3626175000000,-41797000000,3584378000000,-2401467000000,1182911000000,-519309000000,0,-431671000000,-319607000000,55237000000,12309000000,103256000000,-13167000000,-858000000,157635000000,-128664000000,28419000000,57390000000,53036000000,4354000000,VCI,quarterly
MSN,2014,4,0.19434976332450007,5347123000000,1385475000000,6.757331944771055,1218176000000,0,5347123000000,-91361000000,5255762000000,-2914991000000,2340771000000,-424546000000,0,-883144000000,-284200000000,1967057000000,276076000000,-46003000000,-39576000000,236500000000,2157554000000,-586952000000,277750000000,1848352000000,462877000000,1385475000000,VCI,quarterly
MSN,2014,3,0.23890535006824917,4056217000000,28024000000,-0.7555648593957156,80324000000,0,4056217000000,-62296000000,3993921000000,-2362782000000,1631139000000,-404682000000,0,-641790000000,-258302000000,406689000000,32559000000,-48552000000,-44828000000,-12269000000,345868000000,-42237000000,-70919000000,232712000000,204688000000,28024000000,VCI,quarterly
MSN,2014,2,0.5071453394126159,4189433000000,-226723000000,-2.66882333024187,79159000000,-484015000000,4189433000000,-65493000000,4123940000000,-2578841000000,1545099000000,-564851000000,0,-721649000000,-257180000000,80578000000,84400000000,2178000000,-68672000000,15728000000,98484000000,-212481000000,47079000000,-66918000000,159805000000,-226723000000,VCI,quarterly
MSN,2014,1,0.7481954970270932,2753803000000,-106607000000,-173.22455573505655,193308000000,-255839000000,2753803000000,-38790000000,2715013000000,-1632394000000,1082619000000,-316912000000,0,-618254000000,-248676000000,92085000000,12252000000,39316000000,-5828000000,6424000000,137825000000,-117007000000,2078000000,22896000000,129503000000,-106607000000,VCI,quarterly
MSN,2013,4,1.0815207460902467,4477016000000,178602000000,-0.9133742206313523,344655000000,0,4477016000000,-39576000000,4437440000000,-2450158000000,1987282000000,-327937000000,0,-658349000000,-325815000000,1019836000000,6881000000,-59500000000,-25916000000,-19035000000,941301000000,-271884000000,17809000000,687226000000,508624000000,178602000000,VCI,quarterly
MSN,2013,3,0.0,3274033000000,114648000000,0.0,92349000000,0,3274033000000,-39019000000,3235014000000,-1840616000000,1394398000000,-121927000000,0,-591193000000,-216852000000,556775000000,23471000000,-62097000000,-25428000000,-1957000000,492721000000,-229735000000,45675000000,308661000000,194013000000,114648000000,VCI,quarterly
MSN,2013,2,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,VCI,quarterly
MSN,2013,1,0.0,1575226000000,619000000,0.0,139756000000,-64602000000,1575226000000,-41240000000,1533986000000,-1026687000000,507299000000,-73096000000,0,-345967000000,-176442000000,51550000000,96431000000,-14900000000,-16266000000,80165000000,116815000000,-119505000000,37821000000,35131000000,34512000000,619000000,VCI,quarterly
MSN,2010,4,0.0,2150839000000,2061765000000,0.0,1772924000000,0,2150839000000,-50404000000,2100435000000,-1166754000000,933681000000,-85964000000,0,-352969000000,-126499000000,2141173000000,11922000000,139854000000,-10496000000,1426000000,2282453000000,-73559000000,18161000000,2227055000000,165290000000,2061765000000,VCI,quarterly
