ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MSN,2020,2,24716045000000,4695511000000,266900000000,5995045000000,11733669000000,2024920000000,80287817000000,0,42732500000000,16979000000,18656186000000,0,13956473000000,105003862000000,73785579000000,37243199000000,36542380000000,31218283000000,31218283000000,-8563690000000,9141264000000,8075491000000,105003862000000,608538000000,1140000000000,12151041000000,0,11689464000000,11689464000000,27228212000000,1176521000000,21486238000000,6794633000000,5997893000000,21646000000,1581357000000,1581357000000,VCI,yearly
MSN,2020,1,30897924000000,3711237000000,981808000000,14855871000000,9698878000000,1650130000000,74177827000000,0,41138665000000,18214000000,18038980000000,0,10081512000000,105075751000000,53509343000000,33057956000000,20451387000000,51566408000000,51566408000000,-8563690000000,28164979000000,9183023000000,105075751000000,1330772000000,1040000000000,9791676000000,0,11689464000000,11689464000000,17131409000000,932915000000,22145474000000,4054750000000,5801955000000,21646000000,1588641000000,1588641000000,VCI,yearly
MSN,2019,4,24261892000000,6800528000000,784454000000,5417776000000,9621821000000,1637313000000,73035359000000,0,40791699000000,0,17505857000000,0,9859185000000,97297251000000,45408844000000,30492191000000,14916653000000,51888407000000,51888407000000,-8563690000000,28558952000000,9108291000000,97297251000000,1528648000000,0,9690631000000,0,11689464000000,11689464000000,11675842000000,1178905000000,18340185000000,3985428000000,5633114000000,21646000000,1599646000000,1599646000000,VCI,yearly
MSN,2019,3,19179419000000,7359376000000,403950000000,4187625000000,6002870000000,1225598000000,53228683000000,0,26806452000000,0,16861529000000,0,4023248000000,72408102000000,33891988000000,21695888000000,12196100000000,38516114000000,38516114000000,-9426958000000,20292043000000,4869756000000,72408102000000,997059000000,0,6056751000000,0,11689464000000,11689464000000,10298452000000,1103886000000,15180409000000,435178000000,3296393000000,21646000000,1354740000000,1354740000000,VCI,yearly
MSN,2019,2,14368745000000,4813696000000,142130000000,2261208000000,6000863000000,1150848000000,53652712000000,0,28377250000000,0,16320109000000,0,3976480000000,68021457000000,31993039000000,18360400000000,13632639000000,36028418000000,36028418000000,-9426958000000,17924359000000,4749548000000,68021457000000,827165000000,0,6055683000000,0,11689464000000,11689464000000,11793320000000,767862000000,12028360000000,463298000000,3231064000000,21646000000,1374315000000,1374315000000,VCI,yearly
MSN,2019,1,12297612000000,3082541000000,382548000000,2147360000000,5625206000000,1059957000000,52764008000000,0,29104804000000,0,15794409000000,0,3967969000000,65061620000000,30147507000000,15150166000000,14997341000000,34914113000000,34914113000000,-9426958000000,16911534000000,4707333000000,65061620000000,773104000000,350000000000,5668378000000,0,11631495000000,11631495000000,13133307000000,360141000000,10096960000000,491419000000,3189792000000,21646000000,1384505000000,1384505000000,VCI,yearly
MSN,2018,4,12499618000000,4585889000000,375848000000,2412555000000,4333191000000,792135000000,52078995000000,0,29203764000000,0,15347915000000,0,3978850000000,64578613000000,30498935000000,15795515000000,14703420000000,34079678000000,34079678000000,-9426958000000,16193388000000,4592934000000,64578613000000,707242000000,0,4389589000000,0,11631495000000,11631495000000,12751649000000,334553000000,9243779000000,519539000000,3164050000000,21646000000,1377124000000,1377124000000,VCI,yearly
MSN,2018,3,13466352000000,4954786000000,607148000000,2223589000000,4902502000000,778327000000,51348925000000,0,28592088000000,0,14863410000000,0,3838955000000,64815277000000,42542446000000,13819759000000,28722687000000,22272831000000,22272831000000,-9426958000000,15073116000000,4653265000000,64815277000000,831288000000,0,4913588000000,0,11631495000000,11631495000000,26756433000000,880160000000,7545888000000,547660000000,3047012000000,21646000000,1373596000000,1373596000000,VCI,yearly
MSN,2018,2,13272415000000,5518646000000,579348000000,1519957000000,4943605000000,710859000000,50881027000000,0,29072980000000,0,14421882000000,0,3899982000000,64153442000000,42136814000000,13525686000000,28611128000000,22016628000000,22016628000000,-9426958000000,14470571000000,5001706000000,64153442000000,507154000000,0,4952422000000,0,11631495000000,11631495000000,26628155000000,220309000000,8105077000000,575780000000,3046666000000,21646000000,1349073000000,1349073000000,VCI,yearly
MSN,2018,1,13162975000000,4391061000000,1153648000000,2108580000000,4908140000000,601546000000,48645033000000,96400000000,29273029000000,0,11859535000000,0,3879889000000,61808008000000,42228075000000,14564688000000,27663387000000,19579933000000,19579933000000,-9426958000000,12361390000000,4731474000000,61808008000000,329559000000,0,4920140000000,0,11573740000000,11573740000000,25655385000000,217603000000,8942030000000,603901000000,3011891000000,21646000000,1353384000000,1449784000000,VCI,yearly
