ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GAS,2020,2,46389843800088,12531543227548,21109300000000,10643121255240,1541173680903,564705636397,20758112583203,14636642344055,22772174254,394531125534,0,887915702418,67147956383291,13620272986171,11065046708012,2555226278159,53527683397120,53527683397120,196658562648,13992652108803,0,1128079022367,67147956383291,834859093009,1608893954672,0,18853826843892,19139500000000,19139500000000,971040000000,1720367623,1239623597244,52788101777,806159054973,35000000000,59591419099,140724336127,VCI,quarterly
GAS,2020,1,45148432604132,5277466733988,25891000000000,11568889304907,1901852024650,509224540587,20304203651654,15184191859069,22979555614,395426850324,0,888790180009,65452636255786,13489515461037,10840024455253,2649491005784,51963120794749,51963120794749,196658562647,12454547908680,0,1111067515135,65452636255786,901111884144,1978153371061,0,18844379948876,19139500000000,19139500000000,1480500000000,12570095752,1193611630159,67995807954,790685279220,35000000000,59541691828,140543997174,VCI,quarterly
GAS,2019,4,42034111148922,4475895496074,24915000000000,10562310400592,1591782393631,489122858625,20220211673316,15849859946892,23186576974,404693951815,0,931149687499,62254322822238,12569850059139,9960115954205,2609734104934,49684472763099,49684472763099,196658562648,10146378758237,0,1140588633928,62254322822238,830066697428,1662369280919,0,18844379948876,19139500000000,19139500000000,1455930000000,188794071549,1340567022126,83203514130,817561883207,35000000000,49186032942,128406370801,VCI,quarterly
GAS,2019,3,42492240531926,5933208581387,22599154000000,11708792771801,1760397783319,490687395419,20065303977227,16737810276160,23393598334,59911487254,0,1568651773384,62557544509153,15298611655689,12346610702704,2952000952985,47258932853464,47258932853464,255319038873,6985470307219,0,1715815807890,62557544509153,612774829439,1830293082240,0,18945860840072,19139500000000,19139500000000,2007696755744,199742345644,1500061924131,113356175791,1408597156373,85000000000,42916012110,111621635216,VCI,quarterly
GAS,2019,2,44606452700260,7375347002091,24019154000000,11157974002388,1500698743563,553278952218,20593817260351,17375593065538,23600619694,60963801738,0,1557025887395,65200269960611,18797910710025,15847980229539,2949930480486,46402359250586,46402359250586,255319038873,6042608163424,0,1802104348807,65200269960611,109392418963,1587881064531,0,18945860840072,19139500000000,19139500000000,2014416755744,201127457499,1433484236832,130795587451,1377555274684,85000000000,47761129736,118868647969,VCI,quarterly
GAS,2019,1,40888257908879,7589139804750,19844854000000,11512640953210,1522194449180,419428701739,21121193602963,17962175002666,23807641054,61982917747,0,1552782163165,62009451511842,16081249845202,13054150722584,3027099122618,45928201666640,45928201666640,256268619673,7291727956024,0,1811026703029,62009451511842,89395076582,1592089748101,0,17213130022329,19139500000000,19139500000000,2495217808039,135956118287,1493676331947,147596642978,1352515292324,85000000000,45062104095,110600197674,VCI,quarterly
GAS,2018,4,40954625860982,6705675471347,21602454000000,10232069390328,1952144282493,462282716814,21624339559787,18540035400912,24014662414,63019500678,0,1549995868787,62578965420769,15114379719650,11199310466133,3915069253517,47464585701119,47464585701119,256268619673,11212394893694,0,1777743799837,62578965420769,91232623543,2022039581414,345000000,14862130022329,19139500000000,19139500000000,3395742808039,237513454862,1489642437234,165036054638,1322466565320,85000000000,149267425562,216829039491,VCI,quarterly
GAS,2018,3,38969975605043,7302682513477,20998654000000,8973093014271,1301847299632,393698777663,22029919202109,19167663846002,24221683774,64240181574,0,1430632533679,60999894807152,16742952970191,11685214700205,5057738269986,44256941836961,44256941836961,256268619673,8020327515611,0,1762167313762,60999894807152,169051630890,1404447243127,345000000,14862130022329,19139500000000,19139500000000,4577753718133,197151310993,1783800294528,182475466298,1186328874534,85000000000,149029224986,214448413862,VCI,quarterly
GAS,2018,2,45463244067606,9718262208643,20697354000000,12405071767951,2229260693003,413295398009,22609846986467,19844559058535,24428705134,65107699414,0,1393470405292,68073091054073,23025430613549,15989593475583,7035837137966,45047660440524,45047660440524,255319038873,8719398137931,0,1854346381981,68073091054073,139651238791,2328292133575,0,14862130022329,19139500000000,19139500000000,6590452540150,212794179062,1668156523635,200553234092,1148027992447,85000000000,138756345614,207144399271,VCI,quarterly
GAS,2018,1,42989139258890,14666498838126,15040450000000,10880622864535,2071315906561,330251649668,23160576259837,20319365108791,24636096034,92422451568,0,1388296101313,66149715518727,20371490422652,12910731297064,7460759125588,45778225096075,45778225096075,255850125849,9528331483600,0,1787682805119,66149715518727,144001704987,2168514211798,345000000,14849893822097,19139500000000,19139500000000,7041627042296,187414315974,1728438026052,217274495102,1115486950937,111520000000,122526176796,186793390312,VCI,quarterly
GAS,2017,4,38218561704242,13672016964678,13407350000000,9115469403908,1651526459306,372198876350,23568432145766,15496985629551,23721034580,92632703133,0,1396096559745,61786993850008,18626767567481,10931313159127,7695454408354,43160226282527,43160226282527,255850125849,7011059402469,0,1748000110670,61786993850008,158898453262,1743703070912,0,14849893822097,19139500000000,19139500000000,7311935862404,204146464466,1737699131097,234793701279,1085721268693,111040000000,128966392800,191288963954,VCI,quarterly
GAS,2017,3,37162879588530,12897663167477,13367350000000,8607415434266,1854511376468,435939610319,23416686878155,15589832318497,24240143900,141678260924,0,1393156091922,60579566466685,19208546395224,11641622770191,7566923625033,41371020071461,41371020071461,255850125849,5285209221562,0,1684644080511,60579566466685,194906927036,1939149383323,0,14849893822097,19139500000000,19139500000000,7180595339028,201344922532,1977691952458,252312907456,1081627985442,86920000000,117106197089,202201620809,VCI,quarterly
GAS,2017,2,37037148005606,14515027558565,11522350000000,9347268611213,1317574911497,334926924331,23340195370252,16030086371632,24133968680,141806894751,0,1306375727184,60377343375858,19000221416938,11365717959827,7634503457111,41377121958920,41377121958920,255319038873,5299641034355,0,1676845242153,60377343375858,245713099927,1402212918352,0,14849893822097,19139500000000,19139500000000,7261464925380,189845531850,1709929307045,270310880732,996048924826,86920000000,92119824980,180972869670,VCI,quarterly
GAS,2017,1,37506548515539,14216571000377,10332350000000,11230056353291,1422597759560,304973402311,23506474555836,16458626504422,24365433300,143586575496,0,1276814342196,61013023071375,18529035168213,10668078057386,7860957110827,42483987903162,42483987903162,255850125849,7805412457197,0,1722364677340,61013023071375,238103157819,1510970415063,0,13404937821334,19139500000000,19139500000000,7508914050495,144517177707,1200504322198,287351319809,940877082209,86920000000,80926686466,146136449483,VCI,quarterly
