ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
GAS,2020,2,2278260493643,627207751035,414399550034,-36064950590,-316316714869,26386611740,2993872740993,1200335011867,394968996579,-678467396387,-12538559849,-55412785207,-597528253468,-440003910069,597705914105,3402931758564,-1046056348315,0,-344300000000,5246000000000,0,0,422505333087,4278148984772,0,0,115061098500,-541486131415,0,0,-426425032915,7254655710421,5277466733988,-579216861,12531543227548,VCI,yearly
GAS,2020,1,2967645202299,618731285755,18765132938,37994599396,-382424233334,34245067519,3294957054573,-1599637467511,-358573540855,2063122181544,57384195815,-3236813911,-733664364713,440003910069,-752141515658,2408213639353,-753701331232,0,-7765000000000,6669000000000,0,0,416991430584,-1432709900648,0,0,81992604250,-245328824217,0,-11879673000,-175215892967,800287845738,4475889167227,1289721023,5277466733988,VCI,yearly
GAS,2019,4,3824270771876,631381614947,432893597717,-13788710949,-514363576485,41600058731,4401993517288,1735147684375,7047890517,-2467195299807,46905701280,-89255163218,-742092012757,100000000000,-65601467981,2926950849697,-1619404701278,-30000000,-18597287355270,16064153000000,0,83000000000,453603307129,-3615965749419,0,0,594756143262,-1172285953485,0,-7116198600,-584646008823,-1273660908545,5933208581387,-183652176768,4475895496074,VCI,yearly
GAS,2019,3,3688483339437,668248419911,-14672306062,-12634614190,-580763277983,44423415262,3793084976375,-570861924007,-261869721150,-473183375092,8181575440,-5983779830,-714119864344,97526765695,10403202558,1883177855645,-682088665630,1501318187,-6215500000000,7660200000000,-87801500000,0,483431139625,1159742292182,0,0,607597652784,-535026670254,-2633295231,-4554384939875,-4484447252576,-1441527104749,7375347002091,-611315955,5933208581387,VCI,yearly
GAS,2019,2,3811757862346,687178363382,415683632040,4233339670,-278167507942,54162787529,4694848477025,446353714343,61880474819,628339590707,-91056847677,-97466605914,-582426996385,-21553913468,-124222955649,4914694937801,-133433473118,-567630847,-8919700000000,4763000000000,0,-23000000000,267183642994,-4046517460971,0,0,566620183256,-1118546035435,-2633295231,-527900000000,-1082459147410,-214281670580,7589139804750,488867921,7375347002091,VCI,yearly
GAS,2019,1,3816725536920,687309523410,2954654095,-2671803230,-379851470754,58877675529,4183344115970,-1447481531965,368393810948,963300341475,-48869943044,-83676416246,-816373081591,21553913468,-32127807602,3108063401413,-229161357199,1455863642,-3510000000000,5250000000000,0,23000000000,436152738890,1971447245333,0,0,575178235908,-1468525880964,-2633295231,-3300000000000,-4195980940287,883529706459,6705645460007,-35361716,7589139804750,VCI,yearly
GAS,2018,4,4074295672624,692381973100,-174919349703,-30555507141,-465499389929,107933971007,4203637369958,-942007123108,-580495338812,-570774881379,-52434419148,-123655501998,-786550672641,-37663318778,-135835767189,974220346905,-36545678136,0,-4744900000000,4227100000000,70480000000,0,391125440676,-92740237460,0,0,564413361655,-2018707308658,-2234985385,-21445945800,-1477974878188,-596494768743,7302682513477,-512273387,6705675471347,VCI,yearly
GAS,2018,3,4062557697560,552260966854,176577753604,44036545760,-596228803874,98317907501,4344476515044,2635126457688,886942881919,-2281282800896,-90628799151,-116566864478,-721703449960,15898392971,-23271891173,4648990441964,-133024486123,-148822531,-6087000000000,5699700000000,-70480000000,-1302359175,664499951088,72244283259,91566025,0,756593743806,-2749557571700,0,-5144085447825,-7136957709694,-2415722984471,9718262208643,143289305,7302682513477,VCI,yearly
GAS,2018,2,3908411442329,844527006077,-27174967295,6515881473,-264893983767,109528560005,4569959491183,-1082215520578,-146680593258,1545246825484,-80651419859,-95507989542,-625778119384,18743838407,-126467986499,3976648525954,-223881389359,41707937803,-6245104000000,521200000000,0,25422359175,228090899899,-5652564192482,-91566025,0,573710821876,-1127307310987,-3919136469,-2700000000000,-3257607191605,-4933522858133,14666498838126,1286228650,9734262208643,VCI,yearly
GAS,2018,1,3309459349546,586436185080,50308446346,56091878640,-293401827777,124754106422,3833648138257,-2126612080025,-444059326877,2785593477416,-44892955749,-110496559090,-978706431883,-17170553996,-2122983500,2895180724553,-321030270226,-41559115272,-1996100000000,600000000000,0,0,253858362312,-1504831023186,61044037968,0,630029894136,-928733367328,-4491262472,0,-242150697696,1148199003671,13518016964678,282869777,14666498838126,VCI,yearly
GAS,2017,4,4846904016084,615359394258,27199682870,-31691459705,-458670680105,63227784589,5062328737991,-379384769048,220253763688,-633301885737,-25853620255,-140800522099,-605770085794,93047564199,-137778191247,3452740991698,-985207786267,0,-4995000000000,4955000000000,0,29794177488,464623587403,-530790021376,0,0,1344260287207,-1441313047632,-4229021650,-2043859033999,-2145140816074,776810154248,12897663167477,-2456357047,13672016964678,VCI,yearly
GAS,2017,3,2453540191389,592001851945,83377107740,-13117097557,-447171652724,63182675498,2731813076291,569031787054,-459387212002,-86490980583,-174281001254,-146843337477,-472500937983,8629342568,130560692976,2100531429590,-276526917926,41984021091,-3110000000000,1246000000000,0,0,382373676541,-1716169220294,0,0,1060529460816,-862964651269,-5678897946,-2196344513200,-2004458601599,-1620096392303,14515027558565,2732001215,12897663167477,VCI,yearly
GAS,2017,2,2380194995209,660952744415,149928070994,-5023486536,-270811045129,89896340937,3005137619890,2097033931072,78042334663,-119990462851,-236168576490,-78862424068,-541855876138,-5667160855,-252468737299,3945200647924,-235436370505,67272729,-2403900000000,1199000000000,0,-223207911,236819103989,-1203673201698,0,0,5832110579753,-5559706485897,-4890418432,-2655648914466,-2388135239042,353392207184,14158837192590,2798158791,14515027558565,VCI,yearly
GAS,2017,1,2784589676220,795804320386,64974982240,-864795074,-220783533115,63806731829,3487527382486,638082806427,-177470061715,2250717772758,267924141513,-116626479419,-780568789889,5736160855,-95227516802,5480095416214,-1077653052041,5478181818,-4420000000000,1000000000,0,223207911,179138274064,-5311813388248,0,0,2209808690082,-1046751860889,-4853378005,-701708625534,456494825654,624776853620,13595294716123,-3500569366,14216571000377,VCI,yearly
GAS,2016,4,3917393461603,543111978219,82058025626,105867939870,-234625902337,83333280245,4497138783226,-2452984541758,116207982505,-704869219442,194245404140,-78075810365,-330449974597,69035466146,-27686037295,1282562052560,-611798923206,71269999,-100584000000,-350000000000,-51000000000,0,262169560465,-851142092742,100000000000,0,2188236985219,-1834344146364,-38490855754,-4299154039811,-3883752056710,-3452332096892,17064067367435,825038773,13612560309316,VCI,yearly
GAS,2016,3,1335967366289,783487254489,154711116213,-2588041694,-647188583479,82519144643,1706908256461,1303204251431,-13218452711,-641097235777,-585720137936,-105341796612,-260993842580,62250483458,-38896661017,1427094864717,-868808828357,213914091,543500000000,120820000000,-487494000000,715146877780,307799476467,331177439981,0,0,1986710271987,-2493831307913,-9202330766,-1209087340934,-1725410707626,32861597072,17030368776879,836993484,17064067367435,VCI,yearly
GAS,2016,2,1963898110468,1013187435111,-33535444403,-953790086,54437564438,106673577747,3103707453275,-2195275845880,-37465430909,1500447772034,83986722121,-65013937323,-599933617482,-150234252062,-128325809511,1511893054263,-910408446729,-154050167,-803016000000,793792000000,487165000000,-218540026785,239213238707,-411948284974,0,0,836231201989,-158942899741,-10426717960,-2345079121000,-1678217536712,-578272767423,17697501570720,-5500036409,17113728766888,VCI,yearly
GAS,2016,1,1950610722293,731203931081,-15765280230,-33547530271,-556821837982,71904973955,2147584978846,-566826114818,-152914089035,-3546606684,-49332071782,-76717589040,-312817176813,150234252062,-175118143661,960547439075,-983092337477,123834258,-53850000000,169208000000,-545165000000,218540026785,290475795563,-903759680871,379000000000,0,2849310987008,-1840066102774,-19522555880,-1481220619000,-112498290646,-55710532442,18030043218216,4879698416,17979212384190,VCI,yearly
GAS,2015,4,1450149790560,842673703531,26760842835,1894473851,-360956976760,55354498811,2015876332828,-5298674275380,-257612632851,4104437258103,-122748819076,57601544,-611100298043,-569263596011,499685230990,-239343197896,-614920889619,1190950600,-16274416667,152916816667,0,141476819388,239456450556,-96154269075,0,0,920478753406,-912594266257,122636667118,-1893275960384,-1762754806117,-2098252273088,19799251696463,61345105154,17762344528529,VCI,yearly
GAS,2015,3,3002293893065,577217261428,-39457779652,89570067094,-157810135108,35241443926,3507054750753,1415824988222,615913668614,-1990616149773,36719339050,-61912083062,-715932480467,210938240868,846708256755,3864698530960,-2563960335505,-397507639,-1977470000000,-169060000000,0,-101909219388,298055814994,-4514741247538,0,0,1433677373053,-1016805849736,-101576780424,-209334736346,105960006547,-544082710031,20405257333892,-61922927398,19799251696463,VCI,yearly
GAS,2015,2,3373776951455,803947319526,-186293511770,30024220323,-185396052523,38319330946,3874378257957,215646567469,-502533148052,781804431672,-23067526155,-63154176471,-708385516211,224923344110,-1825470808359,1974141425960,-976960462805,1320954545,-2687000000000,266567600000,0,62341619388,260996054898,-3072734233974,0,-200000000,643133801173,-2305743984317,-60375290070,-1301856994967,-3025042468181,-4123635276195,24528362820168,529789919,20405257333892,VCI,yearly
GAS,2015,1,3371071064998,926654772900,210289089798,25853088924,-127536734449,66561067450,4472892349621,734259068411,766738349746,-1520079598112,104625891895,-63795008827,-1293319954281,519233892198,-169638570331,3550916420320,-434169771648,0,-313000000000,0,0,96505070612,276025403906,-374639297130,0,-39911223937,1127657283918,-1492386419384,0,-2323357910880,-2727998270283,448278852907,24080005607944,78359317,24528362820168,VCI,yearly
GAS,2014,4,6075239821304,883576594589,-93912554712,26153449053,-213640727672,60019089523,6737435672085,1562032097957,-90978071174,-2795476724815,166365801299,-102485310288,-788852774383,-696643533563,508985579859,4500382736977,-965267588092,-51355173333,4082000000000,-3354030416667,197647340000,-65000000000,173433181258,17427343166,-139000000000,0,1676149904727,-1633472995248,33692759497,-3627643069837,-3690273400861,827536679282,23250246563039,1901975628,24079685217949,VCI,yearly
GAS,2014,3,3819517729741,887916486341,135828007443,-8924311416,-308392258935,101962968587,4627908621761,-1047119467238,-126841362312,2787625671007,-342230430148,-68707159675,-824530583154,696643533563,-528913301054,5173835522750,-1151511802386,59490515998,-4638769583333,3632430416667,-197647340000,65000000000,358999208955,-1872008584099,139000000000,0,1924271014118,-1453351054055,-70829484527,-909586670995,-370496195459,2931330743192,20321030401809,-2114581962,23250246563039,VCI,yearly
GAS,2014,2,4094432583529,832694812476,-13804297251,29406038850,-306459949762,96954191921,4733223379763,272177159107,-87488972980,-2014558427159,330945229593,-125452252352,-789282867078,-403370023646,339691137672,2255884362920,-271195903569,-424265859,-11230416667,67960000000,89000000000,-5000000000,244163591960,113273005865,-89000000000,0,1929583842230,-2150444741445,-11327096080,-3147093551798,-3468281547093,-1099124178308,21418317255713,1837324404,20321030401809,VCI,yearly
GAS,2014,1,3996706716191,857699153424,-3580793847,606030029,-283620483663,107778385469,4675589007603,93793202259,981367473166,-700575584533,395591582456,-85388759765,-579343640311,403370023646,-508760779101,4675642525420,-380840417727,429222223,-300000000000,40000000,-89000000000,5000000000,331816804467,-432554391037,89000000000,0,715716600162,-892068233366,-7615861254,-1021789008202,-1116756502660,3126331631723,18292997853785,-1012229795,21418317255713,VCI,yearly
GAS,2013,4,2857490077373,813410753826,-214740784601,-43204852304,-237077374600,105542411152,3281420230846,43741829471,-1094190652228,2163743192530,220061823840,-131755999826,-716015258346,-380154278777,89676464811,3476527352321,-1042775374613,0,-314433158412,-178300000000,400000000000,-43100000000,186132432651,-992476100374,-399500000000,-1153105,2292058906663,-2969408214889,237957466362,-1628956971993,-2467849966962,16201284985,18276676708448,250190109,18293128183542,VCI,yearly
GAS,2013,3,3742746183459,799377760645,245583769434,-14047972642,-356180949159,105405478144,4522884269881,-110183172614,254228556706,-1068882770746,58570066317,-71110159243,-697724009559,420865236059,-256032858569,3052615158232,-565260037217,0,-83344362164,178300000000,-400000000000,43100000000,340832995747,-486371403634,399500000000,0,2252981727623,-2332554120725,-237957466362,-2152819024381,-2070848883845,495394870753,17781206438976,75398719,18276676708448,VCI,yearly
GAS,2013,2,3700238848840,861688062707,18229962679,47290533768,-298347273194,119982247049,4449082381849,748198265164,-801854509143,965457780127,329529649069,-157533853118,-1013677874585,-33431572427,-253722991165,4232047275771,-446904688609,0,387245716864,-348601612927,0,0,294983756424,-113276828248,0,0,532567495036,-950763702063,40014456444,-1914318474270,-2292500224853,1826270222670,15955511012894,-574796588,17781206438976,VCI,yearly
GAS,2013,1,5382859400308,761410450855,714765483,24741931416,-254188957211,89773106264,6005310697115,-1233368054549,776312671665,-1233331599594,310748309580,-90023428622,-577546892345,60446453234,-102519444186,3916028712298,-399549213401,0,-387601354700,396951612927,0,0,276843737120,-113355218054,0,0,532004341247,-1092521377716,-40014456444,0,-600531492913,3202142001331,12753084518890,284492673,15955511012894,VCI,yearly
