ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VPB,2017,2,248713537000000,1729591000000,3024512000000,9602399000000,4854132000000,4865579000000,-11447000000,0,159478322000000,162087742000000,-2609420000000,54068887000000,50620882000000,4297561000000,-849556000000,256408000000,299372000000,-42964000000,665284000000,384915000000,280369000000,0,15034002000000,248713537000000,229190691000000,27242000000,21060979000000,129614198000000,137852000000,2866033000000,65828432000000,9655955000000,19522846000000,12053766000000,3465225000000,-113869000000,4117724000000,0,10765453000000,0,0,VCI,quarterly
VPB,2017,1,229847133000000,1790182000000,1828304000000,7184544000000,2312014000000,2313577000000,-1563000000,0,149532581000000,152154805000000,-2622224000000,52889787000000,49779908000000,4044360000000,-934481000000,235801000000,299372000000,-63571000000,699560000000,413950000000,285610000000,27052000000,13347308000000,229847133000000,211168477000000,27719000000,14219861000000,129499602000000,200438000000,2275392000000,56905065000000,8040400000000,18678656000000,12054316000000,2469739000000,-36178000000,4190779000000,0,10765453000000,0,0,VCI,quarterly
VPB,2016,4,225887311000000,1727360000000,2982590000000,9388905000000,2952205000000,2953768000000,-1563000000,0,142602854000000,144673213000000,-2070359000000,55356469000000,51948657000000,4136200000000,-728388000000,216042000000,299372000000,-83330000000,624198000000,422772000000,201426000000,27162000000,10009526000000,225887311000000,208578739000000,1103686000000,25879135000000,123787571000000,191325000000,1389786000000,48650527000000,7576709000000,17308572000000,10469863000000,2477884000000,0,4360825000000,0,9181000000000,0,0,VCI,quarterly
VPB,2016,3,205739847000000,1575799000000,4794892000000,7009194000000,1862567000000,1863200000000,-633000000,0,128145489000000,129946431000000,-1800942000000,50682942000000,47628387000000,3787335000000,-732780000000,259145000000,307077000000,-47932000000,557258000000,374755000000,182503000000,27271000000,10825290000000,205739847000000,189958029000000,25857000000,17744328000000,126527623000000,132159000000,290075000000,39242316000000,5995671000000,15781818000000,10469863000000,1667821000000,-82219000000,3726353000000,0,9181000000000,0,0,VCI,quarterly
VPB,2016,2,202754707000000,1751795000000,3508318000000,10510419000000,1794448000000,1794448000000,0,0,116335300000000,118135827000000,-1800527000000,55738004000000,52752554000000,3722081000000,-736631000000,277295000000,307077000000,-29782000000,549036000000,383412000000,165624000000,27381000000,12262711000000,202754707000000,188342648000000,24020000000,29714274000000,118599449000000,291908000000,326442000000,33988897000000,5397658000000,14412059000000,10469863000000,1667818000000,-84797000000,2359175000000,0,9181000000000,0,0,VCI,quarterly
VPB,2016,1,203492607000000,1568129000000,1934361000000,18894289000000,1229316000000,1229316000000,0,0,113449525000000,115196172000000,-1746647000000,55252654000000,51614067000000,4561632000000,-923045000000,321961000000,322434000000,-473000000,499769000000,330631000000,169138000000,27491000000,10315112000000,203492607000000,189284733000000,7603000000,23512125000000,129211062000000,243124000000,367220000000,30772637000000,5170962000000,14207874000000,10469863000000,1267242000000,-49964000000,2520733000000,0,9181000000000,0,0,VCI,quarterly
VPB,2015,4,193876428000000,1632425000000,2261499000000,14599675000000,2043647000000,2046735000000,-3088000000,0,115062473000000,116804247000000,-1741774000000,47729481000000,43950621000000,4520639000000,-741779000000,322511000000,322984000000,-473000000,509574000000,325013000000,184561000000,27600000000,9687543000000,193876428000000,180487506000000,4821063000000,17764430000000,130270670000000,131760000000,383188000000,21859941000000,5256454000000,13388922000000,9345329000000,1324775000000,0,2718818000000,0,8056466000000,0,0,VCI,quarterly
VPB,2015,3,195003610000000,1688556000000,2757179000000,16246364000000,3486138000000,3488958000000,-2820000000,68529000000,105661082000000,107044783000000,-1383701000000,52195996000000,47773173000000,5199003000000,-776180000000,217741000000,218214000000,-473000000,600430000000,304559000000,295871000000,27710000000,12053885000000,195003610000000,182256428000000,0,28568754000000,127516021000000,0,318162000000,20117533000000,5735958000000,12747177000000,9362872000000,639422000000,-151985000000,2896868000000,5000000,8056466000000,17543000000,0,VCI,quarterly
VPB,2015,2,179219306000000,1266002000000,2009556000000,14610824000000,5274302000000,5286901000000,-12599000000,0,95038564000000,96278559000000,-1239995000000,47563942000000,43263559000000,4908382000000,-607999000000,32465000000,32938000000,-473000000,602710000000,296930000000,305780000000,27820000000,12793121000000,179219306000000,167300679000000,0,22231368000000,120430425000000,135007000000,194275000000,18078310000000,6231294000000,11918622000000,9362872000000,570111000000,53674000000,1931965000000,0,8056466000000,17543000000,5000000,VCI,quarterly
VPB,2015,1,164641320000000,1141497000000,1744222000000,14742631000000,3723353000000,3730048000000,-6695000000,0,84031092000000,84991334000000,-960242000000,43829976000000,40081023000000,4022686000000,-273733000000,33464000000,33937000000,-473000000,610096000000,296717000000,313379000000,27996000000,14756993000000,164641320000000,155233426000000,0,22496501000000,111690119000000,211497000000,150435000000,14267408000000,6417466000000,9407889000000,6348779000000,541383000000,114009000000,2403718000000,5000000,6347410000000,0,0,VCI,quarterly
VPB,2014,4,163241378000000,1358034000000,3701393000000,13924797000000,4243718000000,4260016000000,-16298000000,0,77255692000000,78378832000000,-1123140000000,47960783000000,44189329000000,4022686000000,-251232000000,71831000000,72304000000,-473000000,602947000000,291025000000,311922000000,28175000000,14094008000000,163241378000000,154261083000000,832555000000,26228249000000,108353665000000,215333000000,125246000000,12409544000000,6096491000000,8980290000000,6348779000000,541381000000,0,2090130000000,5000000,6347410000000,0,0,VCI,quarterly
VPB,2014,3,147625564000000,1278183000000,2202409000000,8857824000000,7184237000000,7215172000000,-30935000000,0,69943798000000,70902326000000,-958528000000,41736810000000,40891703000000,1043430000000,-198323000000,71831000000,72304000000,-473000000,612659000000,275097000000,337562000000,28354000000,15709459000000,147625564000000,138871254000000,0,23803059000000,100296066000000,202296000000,74860000000,7154250000000,7340723000000,8754310000000,6348779000000,527009000000,-42694000000,1921216000000,0,6347410000000,0,0,VCI,quarterly
VPB,2014,2,135137164000000,1332999000000,2383361000000,7148920000000,6883238000000,6885689000000,-2451000000,0,61312473000000,62212834000000,-900361000000,38492520000000,37838134000000,722386000000,-68000000000,71831000000,72304000000,-473000000,539416000000,231071000000,308345000000,28533000000,16943873000000,135137164000000,126869923000000,0,19316113000000,91566064000000,133299000000,124050000000,7840619000000,7889778000000,8267241000000,6348779000000,444921000000,-32993000000,1506534000000,0,6347410000000,0,0,VCI,quarterly
VPB,2014,1,130004786000000,1821618000000,3040845000000,12432158000000,7216860000000,7231195000000,-14335000000,0,53473122000000,54237885000000,-764763000000,35346414000000,34758098000000,683316000000,-95000000000,71831000000,72304000000,-473000000,407589000000,234092000000,173497000000,28712000000,16165637000000,130004786000000,122118397000000,0,17883991000000,89026315000000,135841000000,79279000000,7600688000000,7392283000000,7886389000000,6348779000000,300785000000,2542000000,1234283000000,0,6347410000000,0,0,VCI,quarterly
VPB,2013,4,121264370000000,1549351000000,1523596000000,12055421000000,8508797000000,8510340000000,-1543000000,0,51869416000000,52474123000000,-604707000000,29167489000000,28530794000000,636695000000,0,71831000000,72304000000,-473000000,418515000000,242984000000,175531000000,28891000000,16071063000000,121264370000000,113537673000000,1885457000000,13134052000000,83843780000000,50851000000,63737000000,7600755000000,6959041000000,7726697000000,5771369000000,328295000000,0,1627033000000,0,5770000000000,0,0,VCI,quarterly
VPB,2013,3,119577305000000,1154360000000,8398075000000,14649870000000,5283543000000,5321933000000,-38390000000,0,46786355000000,47387917000000,-601562000000,24897059000000,24906059000000,-9000000000,0,71971000000,72444000000,-473000000,388984000000,211384000000,177600000000,29069000000,17918019000000,119577305000000,112470661000000,0,11341632000000,87300703000000,3335000000,48950000000,6150000000000,7626041000000,7106644000000,5771369000000,315431000000,-25918000000,1045762000000,0,5770000000000,0,0,VCI,quarterly
VPB,2013,2,113563080000000,766190000000,2495350000000,20700004000000,5365855000000,5404808000000,-38953000000,0,44524082000000,45019696000000,-495614000000,22308965000000,22317965000000,0,-9000000000,68640000000,69113000000,-473000000,397966000000,219151000000,178815000000,29247000000,16906781000000,113563080000000,106751883000000,0,18537504000000,76135009000000,36615000000,64935000000,3400000000000,8577820000000,6811197000000,5771369000000,315431000000,-27087000000,751484000000,0,5770000000000,0,0,VCI,quarterly
VPB,2013,1,112611227042272,976307433021,488501809211,24438365447006,3626924125801,3650779828700,-23855702899,0,41120083317132,41580193739597,-460110422465,25182933351605,25191933351605,0,-9000000000,67338169468,67810888165,-472718697,429751957649,252549088609,177202869040,29440662049,16251580769330,112611227042272,105861865953531,0,26495672604340,68715611069084,23326097376,64547721836,3422100000000,7140608460895,6749361088741,5771369214500,233030914430,-25652923658,770613883469,0,5770000000000,0,0,VCI,quarterly
