ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VIB,2016,4,104548141000000,855741000000,4015092000000,9152036000000,11331000000,59308160000000,60179583000000,-871423000000,28604353000000,26916591000000,2664875000000,-977113000000,109646000000,185261000000,-75615000000,375171000000,246239000000,128932000000,16403000000,2100208000000,104548141000000,95805590000000,0,33261991000000,59260842000000,0,57475000000,2000000000000,1225282000000,8742551000000,6802939000000,1256723000000,0,682889000000,0,5644425000000,0,0,VCI,quarterly
VIB,2016,3,88609821000000,929397000000,3340944000000,5472807000000,24247000000,52753126000000,53373619000000,-620493000000,23593357000000,21348415000000,3323460000000,-1078518000000,126302000000,201917000000,-75615000000,398737000000,243452000000,155285000000,20007000000,1950897000000,88609821000000,80084726000000,0,18945662000000,59779035000000,0,65370000000,0,1294659000000,8525095000000,6802946000000,1256723000000,0,465426000000,0,4845000000000,0,0,VCI,quarterly
VIB,2016,2,86706925000000,928595000000,5759639000000,6055252000000,43019000000,50540655000000,51318610000000,-777955000000,21359037000000,18652602000000,3643372000000,-936937000000,129050000000,201917000000,-72867000000,396628000000,241946000000,154682000000,16403000000,1478647000000,86706925000000,78282026000000,593073000000,19300749000000,57248363000000,0,73208000000,0,1066633000000,8424899000000,6802946000000,1256723000000,0,365230000000,0,4845000000000,0,0,VCI,quarterly
VIB,2016,1,85252233000000,1211919000000,1126473000000,7191671000000,82958000000,48146133000000,48803546000000,-657413000000,25304585000000,22410380000000,3757698000000,-863493000000,126302000000,201917000000,-75615000000,383175000000,251366000000,131809000000,16605000000,1662412000000,85252233000000,76497079000000,593073000000,20724035000000,53890982000000,0,75191000000,0,1213798000000,8755154000000,6802946000000,1185521000000,0,766687000000,0,4845000000000,0,0,VCI,quarterly
VIB,2015,4,84411998000000,849380000000,6891501000000,761777000000,76362000000,47143688000000,47777031000000,-633343000000,26382903000000,23388819000000,3757698000000,-763614000000,135039000000,210654000000,-75615000000,395754000000,266390000000,129364000000,16605000000,1758989000000,84411998000000,75767754000000,8472331000000,12699666000000,53303964000000,0,72925000000,0,1218868000000,8644244000000,6802946000000,1185521000000,0,655777000000,0,4845000000000,0,0,VCI,quarterly
VIB,2015,3,72553933860845,826484936687,1607612052951,2059437186621,64233528350,43769155345395,44364846967295,-595691621900,21890520585188,18958280568284,3576901838149,-644661821245,135038526205,210653325953,-75614799748,344521952151,257079915594,87442036557,16605153663,1840324593634,72553933860845,64122750991869,0,12715315579019,50280162324847,0,68667160000,0,1058605928003,8431182868976,6802951128010,1195881751831,0,432349989135,0,4250000000000,0,0,VCI,quarterly
VIB,2015,2,77368354000000,730322000000,1348509000000,573931000000,5974000000,40341937000000,41258098000000,-916161000000,30433725000000,27657760000000,3285340000000,-509375000000,139698000000,210636000000,-70938000000,381311000000,264097000000,117214000000,16607000000,3396340000000,77368354000000,69042600000000,0,17408128000000,49656867000000,0,46162000000,2000000,1931441000000,8325754000000,6802951000000,1195882000000,0,326921000000,0,4250000000000,0,0,VCI,quarterly
VIB,2015,1,78028476062328,738106498448,1878259357708,644801429506,16815190605,38628990832587,39483748049675,-854757217088,31238636791618,29266689235855,2348311743628,-376364187865,140014224181,215629023929,-75614799748,395013551436,278365190551,116648360885,16605153663,4331233032576,78028476062328,69370809435367,204886129329,18654768198756,48047792808558,0,51873200000,2913773,2411486184951,8657666626961,6802951128010,1195483312364,-2558918349,661791104936,0,4250000000000,0,0,VCI,quarterly
VIB,2014,4,80712681593075,637522009667,1619862180287,7492223973542,9656117677,37289570460601,38178785822812,-889215362211,27797454753695,25719359979162,2348311743628,-270216969095,148557325460,224172125208,-75614799748,391056937289,297587579691,93469357598,16605153663,5310172681194,80712681593075,72205731734537,0,19761129465750,49051908315419,0,53787020000,24943734,3338881989634,8506949858538,6802951128010,1125660773614,0,578337956914,0,4250000000000,0,0,VCI,quarterly
VIB,2014,3,76242479923182,689230619868,1642622437115,7297114876074,52176351177,36264696431345,36895507245652,-630810814307,21070745597229,19676738627247,1473834389241,-79827419259,160842361111,227167689658,-66325328547,395492272152,303031505327,92460766825,841148151179,7828410825932,76242479923182,68084087160519,49684560187,19406004932293,43969184751572,0,455748059968,24745491,4203440111008,8158392762663,6802951128010,1125660773614,23094105791,206686755248,0,4250000000000,0,0,VCI,quarterly
VIB,2014,2,70436718000000,810782000000,1227120000000,5089979000000,12027000000,35256277000000,36234642000000,-978365000000,17786566000000,17305932000000,510878000000,-30244000000,158436000000,227170000000,-68734000000,359183000000,271064000000,88119000000,817950000000,8918398000000,70436718000000,62341104000000,0,16037747000000,41554723000000,0,427216000000,25000000,4321393000000,8095614000000,6802951000000,1125661000000,114000000,166888000000,0,4250000000000,0,0,VCI,quarterly
VIB,2014,1,77085164560764,816816510608,258110535372,5835183138199,38922113132,36687518329542,37730838266155,-1043319936613,22548813401303,22282447916935,295426418742,-29060934374,160839372092,227164700639,-66325328547,367471694030,276463152765,91008541265,873403692578,9498085773908,77085164560764,69055107546805,581962606695,23252688210958,40041057539564,0,429013566971,24502272,4750361120345,8030057013959,6802951128010,1114812076397,771084200,111522725352,0,4250000000000,0,0,VCI,quarterly
VIB,2013,4,76896084722987,572554428188,1065667333203,7966815739022,25782614079,34335298968825,35238517475620,-903218506795,21050723824152,20767297528568,295426418742,-12000123158,179062912178,245388240725,-66325328547,367845854263,276456098640,91389755623,879846020035,10452487029042,76896084722987,68933932309056,998044925693,19036314364663,43261571443849,0,455944239683,307549193,5181749785975,7962152413931,6802951128010,1114812076397,0,44389209524,0,4250000000000,0,0,VCI,quarterly
VIB,2013,3,65919597092619,819389997696,896618830296,7785249220977,0,33366015634156,34518983254951,-1152967620795,11619815408182,11633919309514,0,-14103901332,183560761964,249886090511,-66325328547,675861165439,242077329457,433783835982,44253153663,10528832920246,65919597092619,57483341649313,0,11564826084710,40039996932304,1590875600,405625917904,306511025,5470995327770,8436255443306,6802951128010,1114812076397,43509534,518448729365,0,4250000000000,0,0,VCI,quarterly
VIB,2013,2,68527201000000,789257000000,2283192000000,9504267000000,6190000000,33085514000000,34034362000000,-948848000000,12415729000000,12433170000000,-17441000000,0,182232000000,249887000000,-67655000000,625730000000,193654000000,432076000000,44253000000,9590837000000,68527201000000,59944575000000,0,17943150000000,36617222000000,0,429851000000,305000000,4954047000000,8524663000000,6802951000000,1114211000000,44000000,607457000000,0,4250000000000,-7000000,57963000000,VCI,quarterly
VIB,2013,1,66286410055445,887764560029,1382760064817,7691735070971,8155960311,32569988874277,33286390722496,-716401848219,14545221611018,14562662248858,0,-17440637840,183556083500,249881412047,-66325328547,618135776718,184059780001,434075996717,44253153663,8354838900141,66286410055445,57731725891452,0,11759474991047,41461269070291,0,419886555853,303767814,4090791506447,8496240688406,6802951128010,1039203006435,129488608,653957065353,58443475587,4250000000000,0,0,VCI,quarterly
