ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
MBB,2019,3,397441105000000,2320396000000,7117589000000,47469375000000,1615709000000,1694021000000,-78312000000,78238000000,236407193000000,240211306000000,-3804113000000,78871608000000,75891318000000,3289157000000,-308867000000,885826000000,0,1036779000000,-150953000000,2714853000000,1593013000000,1121840000000,30813000000,19929505000000,397441105000000,359758135000000,2633201000000,58395319000000,254130038000000,0,265062000000,24088378000000,20246137000000,37682970000000,20595636000000,5036633000000,0,10219639000000,0,21604514000000,27834000000,1831062000000,VCI,yearly
MBB,2019,2,402264372000000,2321206000000,3426842000000,52651532000000,1182392000000,1259960000000,-77568000000,0,235995611000000,238924642000000,-2929031000000,84880740000000,81799338000000,3388110000000,-306708000000,882652000000,0,1033063000000,-150411000000,2690239000000,1581449000000,1108790000000,30813000000,18202345000000,402264372000000,366738174000000,2600409000000,68844122000000,259008944000000,61781000000,302881000000,18879373000000,17040664000000,35526198000000,20595636000000,5048304000000,0,8078631000000,0,21604514000000,27834000000,1803627000000,VCI,yearly
MBB,2019,1,383219255000000,2089571000000,7596756000000,43249072000000,675338000000,753785000000,-78447000000,1154000000,226050558000000,229168311000000,-3117753000000,80346426000000,75845447000000,4763273000000,-262294000000,886122000000,0,1039323000000,-153201000000,2661296000000,1548969000000,1112327000000,30813000000,19632149000000,383219255000000,347087834000000,3158536000000,72809096000000,242252088000000,0,288944000000,15015253000000,13563917000000,36131421000000,20595636000000,4977279000000,0,8956319000000,0,21604514000000,27834000000,1602187000000,VCI,yearly
MBB,2018,4,362361094000000,1736571000000,10548084000000,45061628000000,577672000000,684035000000,-106363000000,36032000000,211474953000000,214685958000000,-3211005000000,73833564000000,70687988000000,3522144000000,-376568000000,497353000000,0,582628000000,-85275000000,2699314000000,1586152000000,1113162000000,30813000000,15865110000000,362361094000000,328188236000000,2632894000000,60470881000000,239964318000000,41666000000,319963000000,11157638000000,13600876000000,34172858000000,21632348000000,3887135000000,0,7123671000000,0,21604514000000,27834000000,1529704000000,VCI,yearly
MBB,2018,3,343850297000000,1919151000000,8988483000000,44647498000000,904977000000,953306000000,-48329000000,0,201474976000000,204884876000000,-3409900000000,64526475000000,58934176000000,6036833000000,-444534000000,765618000000,32856000000,866183000000,-133421000000,2616548000000,1583487000000,1033061000000,88245000000,17918326000000,343850297000000,310642655000000,2078022000000,58694829000000,232638438000000,11437000000,285402000000,6094172000000,10840355000000,33207642000000,21604514000000,4046701000000,0,5792385000000,0,21604514000000,0,1764042000000,VCI,yearly
MBB,2018,2,333203019000000,1946454000000,6866616000000,48793974000000,3512707000000,3604722000000,-92015000000,0,202027423000000,204829117000000,-2801694000000,52503841000000,48725373000000,4157952000000,-379484000000,1201931000000,48293000000,1287059000000,-133421000000,2538054000000,1518666000000,1019388000000,88979000000,13723040000000,333203019000000,301872094000000,2981880000000,46107597000000,234796072000000,144000000,275621000000,6087975000000,11622805000000,31330925000000,18983251000000,4086992000000,0,6671807000000,0,18155054000000,0,1588875000000,VCI,yearly
MBB,2018,1,316345493000000,2048473000000,4826686000000,37657981000000,3410710000000,3461998000000,-51288000000,146897000000,191261862000000,193745724000000,-2483862000000,51337599000000,47298022000000,4373482000000,-333905000000,1238181000000,50061000000,1311135000000,-123015000000,2570955000000,1552171000000,1018784000000,92037000000,21754112000000,316345493000000,285315862000000,4435673000000,36415087000000,227017855000000,0,266287000000,6124181000000,11056779000000,31029631000000,18983251000000,4162854000000,0,6311447000000,0,18155054000000,0,1572079000000,VCI,yearly
MBB,2017,4,313877828000000,1842032000000,6683682000000,53497402000000,2804525000000,2839964000000,-35439000000,121592000000,182062458000000,184188142000000,-2125684000000,50677071000000,43091877000000,7945077000000,-359883000000,984562000000,50061000000,1064147000000,-129646000000,2604460000000,1586633000000,1017827000000,92783000000,12507261000000,313877828000000,284276658000000,1847879000000,46101157000000,220176022000000,0,297000000000,6022222000000,9832378000000,29601170000000,18983251000000,3209154000000,0,5977328000000,0,18155054000000,0,1431437000000,VCI,yearly
MBB,2017,3,291942720000000,2052251000000,7411959000000,36696708000000,706974000000,728399000000,-21425000000,78135000000,174206750000000,176245057000000,-2038307000000,52718111000000,42723471000000,11151975000000,-1157335000000,1470435000000,49766000000,1550791000000,-130122000000,2573037000000,1542490000000,1030547000000,111835000000,13916525000000,291942720000000,263479200000000,150742000000,38487574000000,211578250000000,0,273486000000,4117600000000,8871548000000,28463520000000,17955606000000,3312011000000,0,5916022000000,0,17127409000000,0,1279881000000,VCI,yearly
MBB,2017,2,276244750000000,1937989000000,3544632000000,27860139000000,743835000000,820240000000,-76405000000,33376000000,170396706000000,172677969000000,-2281263000000,55280998000000,46287040000000,10261681000000,-1267723000000,1074338000000,49766000000,1151862000000,-127290000000,2624462000000,1577688000000,1046774000000,112589000000,12635686000000,276244750000000,248935607000000,1438828000000,32639222000000,203309909000000,0,259614000000,2758538000000,8529496000000,27309143000000,17955606000000,3329087000000,0,4762508000000,0,17127409000000,0,1261942000000,VCI,yearly
