ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Gain/(loss) from joint ventures,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales,Sales deductions,Other income,Net income from associated companies,Other Income/Expenses,data_source,period_type
SSI,2017,2,694633296018,0.07137667446168902,304323984153,0.1848273747438198,694633296018,-231629079112,463004216906,27924748706.0,-76579045013.0,-75878112208.0,-44344910313,370005010286,0.0,918225090,370923235376,-46264030928,-20957095909,303702108539,-621875614,304323984153,694633296018,0,918225093,0,-3,VCI,yearly
SSI,2017,1,545186538325,0.23785915770755867,294619407907,0.5360240222095144,545186538325,-104518082328,440668455997,31028124579.0,-76403013852.0,-76327263880.0,-31629516736,363664049988,0.0,371250483,364035300471,-63107756240,-6964277316,293963266915,-656140992,294619407907,545186538325,0,477142693,0,-105892210,VCI,yearly
SSI,2016,4,628816411789,0.4952249096695241,102569981622,-0.5994430963763049,628816411789,-420284263218,208532148571,18457281262.0,-69767833913.0,-69707955837.0,-37302129808,119919466112,0.0,986248092,120905714204,-48338701303,29387608319,101954621220,-615360402,102569981622,628816411789,0,1046767544,0,-60519452,VCI,yearly
SSI,2016,3,728130811566,0.9532857920911709,365771899541,1.5135167484409406,728130811566,-195660140431,532470671135,25493193519.0,-75909200376.0,-75797280760.0,-35442175307,446612488971,0.0,586193824,447198682795,-79881183448,-2157629576,365159869771,-612029770,365771899541,728130811566,0,589513962,0,-3320138,VCI,yearly
SSI,2016,2,648355814137,0.24065475399287253,256850905575,-0.1331901706354992,648355814137,-217911800983,430444013154,19709479536.0,-66620870180.0,-66607004854.0,-39348258541,344184363969,0.0,403893469,344588257438,-63506039135,4989709278,286071927581,-483094304,256850905575,648355814137,0,418592130,0,-14698661,VCI,yearly
SSI,2016,1,440426954012,0.9016292327371598,191806510606,0.6995032494509857,440426954012,-155508254602,284918699410,31539527011.0,-57112500979.0,-57109585173.0,-28501044598,230844680844,0.0,525663611,231370344455,-28977996642,-10914530885,191477816928,-328693678,191806510606,440426954012,0,573574380,0,-47910769,VCI,yearly
SSI,2015,4,420549716449,0.5124053717007099,256068440449,1.5403971282797668,420549716449,-129508186261,291041530188,100949839443.0,-47740830602.0,-47705184869.0,-41555765288,302694773741,0.0,810494649,303505268390,-78724978632,30601766637,255382056395,-686384054,256068440449,420549716449,0,975978784,0,-165484135,VCI,yearly
SSI,2015,3,372772286838,-0.10798608640853147,145521966292,-0.22541661412490563,372772286838,-102347038506,270425248332,-18966201270.0,-30899717383.0,-30896110769.0,-32060721017,188498608662,0.0,472422305,188971030967,-53812482621,10012445304,145170993650,-350972642,145521966292,372772286838,0,473433207,0,-1010902,VCI,yearly
SSI,2015,2,522591649329,0.06034507962421411,296317481498,0.054785591813369505,522591649329,-163970243679,358621405650,116259447182.0,-12068779716.0,-26100041223.0,-31969067824,402778850496,-14032077398.0,3372641970,406151492466,-22211319155,-57248343369,326691829942,-423982031,296317481498,522591649329,0,3373137335,0,-495365,VCI,yearly
SSI,2015,1,231605060771,-0.38369006565117364,112860337671,-0.35594347518823527,231605060771,-99183783519,132421277252,57179490865.0,-20514619546.0,-20504774652.0,-28330897272,154787328697,14032077398.0,382520541,155169849238,-47054793821,4500145725,112615201142,-245136529,112860337671,231605060771,0,384909109,0,-2388568,VCI,yearly
SSI,2014,4,278066796322,0.3601589776093044,100798586803,0.4914455492740602,277966796322,-248427451846,29539344476,0.0,0.0,0.0,-5563598000,23975746476,0.0,50489469451,114885611385,-22165148493,7494064869,100214527761,584059042,100798586803,278066796322,-100000000,50489473864,40420395458,-4413,VCI,yearly
SSI,2014,3,417899632683,1.3590501911558694,187871272410,0.9942994459208702,417899632683,-195503582081,222396050602,0.0,0.0,0.0,-2758063811,219637986791,0.0,746855033,234067393430,-71731139470,25965227995,188301481955,-430209545,187871272410,417899632683,0,749196415,13682551606,-2341382,VCI,yearly
SSI,2014,2,492850544008,1.7590469166167035,280926743594,1.9334641046406966,492850544008,-149501384736,343349159272,0.0,0.0,0.0,-3423398155,339925761117,0.0,1185037636,348628648905,-65785683689,-1762893214,281080072002,-153328408,280926743594,492850544008,0,1187459605,7517850152,-2421969,VCI,yearly
SSI,2014,1,375793164872,1.2539198811995371,175233591033,0.09186641316962768,375793164872,-96395122116,279398042756,0.0,0.0,0.0,-3014655161,276383387595,0.0,1229151174,230258746337,-58905956862,3746663468,175099452943,134138090,175233591033,375793164872,0,1229751193,-47353792432,-600019,VCI,yearly
SSI,2013,4,204436981926,0.0,67584489995,0.0,204436981926,-124966219271,79470762655,0.0,0.0,0.0,-3763887133,75706875522,0.0,11243228134,89057283581,-26436932456,4492490321,67112841446,471648549,67584489995,204436981926,0,11243228138,2107179925,-4,VCI,yearly
SSI,2013,3,177147410534,0.0,94204144114,0.0,177147410534,-86258600919,90888809615,0.0,0.0,0.0,-2595477389,88293332226,0.0,18813367416,118529988505,-11287201964,-12949838228,94292948313,-88804199,94204144114,177147410534,0,18819481465,11423288863,-6114049,VCI,yearly
SSI,2013,2,178630722457,0.0,95766211405,0.0,178630722457,-110954184397,67676538060,0.0,0.0,0.0,-3175539397,64500998663,0.0,16581764305,110560464824,-13301259508,-1391496008,95867709308,-101497903,95766211405,178630722457,0,16647937616,29477701856,-66173311,VCI,yearly
SSI,2013,1,166728714719,0.0,160489954558,0.0,166728714719,-64297245708,102431469011,0.0,0.0,0.0,-2487739178,99943729833,0.0,16359813903,187686447269,-37355805931,9731795153,160062436491,427518067,160489954558,166728714719,0,16359813903,71382903533,0,VCI,yearly
