ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,data_source,period_type
SSI,2017,3,244210834218,5236312495,-196523724,-402244423,-160325142880,86459676956,-181628561064.0,-575652521379,3070784400.0,0,-423715644.0,1059881647,-86506875730,-45142312211,178045705464,-1097316000,-533680242961,-10438156310,445500000,0,0,-2219000320400,1558000000000,108578003845,-562414972865,0,0,13383295952517,-12549711672212,0,833584280305,-262510935521,821234947551,143080064,558724012030,-2645749154,58579924567,VCI,quarterly
SSI,2017,2,370923235374,4959144098,112377798,441290256,-108362294941,75958112207,-141064121174.0,12150129573,12344031126.0,0,-445833184.0,-3442864434,-84134976902,-61996438200,141055482204,-2090074999,95815885388,-9283142633,0,0,0,-1512000000000,1260100000000,96666119188,-164517023445,0,0,12332363458194,-11754164625971,-26398000,578172434223,509471296166,311763651386,45477136,821234947552,-627453800,409875341211,VCI,quarterly
SSI,2017,1,364035300471,4511688913,-259785416,0,-95154299991,76382263879,-112741864812.0,178174201498,35257684474.0,0,-4725125120.0,-7903035119,-67141945860,-51710393929,112830392482,-23007993665,340825349675,-7538242738,0,0,0,-1615000000000,430000000000,75136444562,-1117401798176,397000000,0,8184850045518,-7405104987944,-366922000,779775135574,3198687073,308564964313,2262183726,311763651386,-3009348960,-328541829799,VCI,quarterly
SSI,2016,4,120905714204,4355409923,11125774555,0,-85222755550,69762955836,-124739141200.0,631037202426,-41285274200.0,0,7684643786.0,-18209603179,-58659870716,-78469718198,130154375200,-1787672043,530672954743,-32069538340,1727273,0,0,-437681836000,664000000000,71382441124,265632794057,99980000000,-2081344900,6346392674592,-6900452283912,-478843442000,-935004396220,-138698647420,447263611734,-1316207601,308564964314,9005279644,148689626319,VCI,quarterly
SSI,2016,3,447198682795,4331264547,0,0,-85355553126,75833947426,-131578947245.0,386779654992,155692408800.0,0,813801415.0,-1608194155,-76362483284,-62924657868,146093268044,-303079068,575082280431,-26350785926,1818182,0,0,-1338000000000,582000000000,68396903455,-713952064289,0,0,8882813760591,-8916660520039,-3600000,-33850359448,-172720143306,619983755040,-1292763479,447263611734,-2909327843,51038426637,VCI,quarterly
SSI,2016,2,344588257438,4396569378,-5153726983,0,-66288104282,66607004854,-178609451626.0,-292745822988,-165361634600.0,0,-1280307270.0,-8487557317,-73938627437,-27646819347,175595049024,-1401604055,-221321039712,-693782110,0,0,0,-1488505600000,725100000000,54393645568,-709705736542,0,-419700,8824148816740,-7830252328295,-88245000,993807823745,62781047491,557202707549,-1368639747,619983755040,2085092531,-310175684884,VCI,quarterly
SSI,2016,1,231370344455,5123112542,6519333122,0,-66656990299,57109585173,-110452380048.0,-464887850685,0.0,0,-2797274130.0,701386413,-75635123312,-75396720946,123560066767,-36251047706,-388108454548,-4552125775,0,0,0,-680000000000,450000000000,45740937526,-188811188249,0,-240535800,8349679055407,-7961676464536,0,387762055071,-189157587726,746360295275,5917487184,557202707549,-1502090495,-61175965812,VCI,quarterly
SSI,2015,4,308864083728,5092693170,-57163875618,0,-109816956975,47705184869,0.0,194681129174,0.0,109927384309,0.0,-1108679244,-32092811423,-58370723323,0,-826889300,-1073147345799,-1446798035,0,-620000000000,0,-479653946887,701458498678,26782846645,-372859399599,99936000000,-547500,6089211748293,-4712413791340,-21600000,1476711809453,30705064055,1959706325684,-1287573,1990410102166,-1234463958314,-50892797678,VCI,quarterly
SSI,2015,3,185939145446,5227587981,-31033591736,0,-8416031712,30896110769,0.0,182613220748,0.0,-682655738649,0.0,-2878975338,-20967980876,-22034665539,0,-875093000,-1087981928298,-2429693200,0,-394440750000,160230780000,-459051688845,324056210460,13520565178,-358114576407,0,-50000,4516118844105,-3547964348746,-74704000,968079741359,-478016763346,2433826470521,3866618509,1959676325684,-177332164830,-363850530814,VCI,quarterly
SSI,2015,2,415574104615,5373294627,-233211908504,0,-93220037889,26100041222,0.0,120615494071,0.0,0,0.0,3328562157,-12622812261,-46278917866,0,-16029480001,291161581595,-1278221800,11590549,-1312206000000,244236686302,-43703007187,364414145475,57738309703,-690786496958,-25000000,0,3612833490437,-3324576141742,-42020000,288190328695,-111434586668,2543208901044,2052156245,2433826470621,-15733605397,304638066859,VCI,quarterly
SSI,2015,1,153759468768,5435801023,24646737995,0,-86046697926,20504774652,0.0,118300084512,0.0,351569065034,0.0,-3805677736,-11300352386,-23321651330,3225000,-23345739824,604460955566,-947246079,545455,-568821250000,0,-209790288992,222140471395,29130099041,-528287669180,52542860000,-169830000,5603341049185,-5141330349532,0,514383729653,590557016039,1952651885005,0,2543208901044,-187615861190,383977863486,VCI,quarterly
SSI,2014,4,114885611385,5383745569,102556133291,0,-52785631465,11313412919,0.0,181353271699,0.0,639182814235,0.0,-1736773257,-10920431552,-71391191303,0,155330000,85709266431,-2228147423,0,-29816382157,34899457956,-582562484075,299430246427,8326459457,-271950849815,0,-54900,9013587016720,-8858132098063,-353139351000,-197684487243,-383926070627,2336577955632,0,1952651885005,214512629892,-865446383283,VCI,quarterly
SSI,2014,3,234067393430,5365881246,49840360281,0,-179871769227,3057433996,0.0,112459299726,0.0,437501075784,0.0,2110201266,-2826452399,-65312006999,0,-245330000,-2477508916223,-4725186995,0,0,114500000000,-560904468355,785856926193,42883470092,377610740935,86498771600,0,7624825510636,-6802155443884,-2555358,909166282994,-1190731892294,3527309847926,0,2336577955632,-699571894851,-2261623808750,VCI,quarterly
SSI,2014,2,348628648905,5217739230,45038332088,0,-214382422770,850086670,0.0,185352384123,0.0,-1185518290954,0.0,150725429,-908011346,-58846453503,7000000,-2063500000,156968288320,-1958068961,0,0,303194472326,-325529065498,776282586464,69735051750,821724976081,0,0,2571492822213,-2505159276203,-30295000,66303251010,1044996515411,2482313332515,0,3527309847926,123721590888,1095072843683,VCI,quarterly
SSI,2014,1,230258746337,5025411499,-14266469410,0,-111760948385,1317329115,0.0,110574069156,0.0,-477058606077,0.0,-4110363983,-1339120595,-27409372535,20000000,-23960704300,447319436688,-766604075,1000000,0,0,-227746568073,282952228156,39260471220,93700527228,0,0,1526056353213,-1423348459076,-34004000,102673890137,643693854053,1838619478462,0,2482313332515,-773467289983,1644070825005,VCI,quarterly
SSI,2013,4,89057283581,5086379071,-57037079981,0,-85166663027,41823464597,0.0,-6236615759,0.0,127183968174,0.0,5834946922,-890851446,-11281069499,0,-462500000,-1100120246986,-3119708793,0,-74561832573,100838575344,-240481099514,289381228583,40491856373,112549019420,0,0,1862185711496,-1578065972486,-55009000,284064730010,-703506497556,2542125976018,0,1838619478462,-135153655628,-1079114469750,VCI,quarterly
SSI,2013,3,118529988503,5728589597,-18250940727,0,-40856418952,177773912,0.0,65328992333,0.0,544567531035,0.0,2921713290,-163495209,-12715781833,0,-104865821,-97463293092,-1158941050,909090909,0,0,-78094513792,53315260247,28376304691,3347201005,0,0,522508005086,-447666702775,-349758056000,-274916753689,-369032845776,2911158821794,0,2542125976018,-266148527329,-431148859558,VCI,quarterly
SSI,2013,2,110560464824,6486992609,1828670840,0,-57445141189,141025176,0.0,61572012260,0.0,-475995766046,0.0,4578845099,-281864375,-37154620205,0,-4587978917,437614762535,-4655830100,918181818,-41530000000,45218106711,-83774866159,98236956001,70858183669,85270731940,0,-131760,329471719665,-490573614801,-8360000,-161110386896,361775107579,2549383714215,0,2911158821794,230291735062,659192399657,VCI,quarterly
SSI,2013,1,187686447269,6846599618,-61115012846,0,-87680110927,2361086071,0.0,48099009185,0.0,375009078610,0.0,-761053606,-2715534314,-9820919352,0,-8842753163,758117630509,-2529694320,0,-20000000000,25000000000,-80106461876,82468567995,20114466866,24946878665,15854880000,0,740995512302,-937621638243,0,-180771245941,602293263233,1947090450982,0,2549383714215,-134047073485,491196876634,VCI,quarterly
