ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
VRE,2020,2,8162385000000,4105252000000,64716000000,1542202000000,1009599000000,1440616000000,30598499000000,0,461496000000,27564400000000,0,1791612000000,38760884000000,10972010000000,5866685000000,5105325000000,27788874000000,27788874000000,0,6427340000000,34045000000,38760884000000,436251000000,0,1010410000000,1217915000000,23288184000000,23288184000000,3784431000000,1493143000000,19887000000,370486000000,519463000000,0,7405000000,7405000000,VCI,quarterly
VRE,2020,1,5287694000000,2054379000000,88862000000,782997000000,968779000000,1392677000000,31627889000000,950000000000,469769000000,27881231000000,0,1522363000000,36915583000000,9469878000000,5344909000000,4124969000000,27445705000000,27445705000000,0,6084233000000,33983000000,36915583000000,116345000000,0,969590000000,1217915000000,23288184000000,23288184000000,2766171000000,988460000000,19415000000,388632000000,527032000000,0,8659000000,958659000000,VCI,quarterly
VRE,2019,4,4368190000000,1388344000000,88537000000,724237000000,985989000000,1181083000000,31454343000000,0,473832000000,28063677000000,700000000000,1567733000000,35822533000000,8872448000000,4767529000000,4104919000000,26950085000000,26950085000000,0,5588726000000,33870000000,35822533000000,121081000000,0,986800000000,1065000000000,23288184000000,23288184000000,2765306000000,470926000000,19415000000,406778000000,554712000000,0,8659000000,8659000000,VCI,quarterly
VRE,2019,3,5636025386100,1383196409294,85357763534,1321439451937,899169732013,1946862029322,31949080578484,0,222511047819,27470146795352,700000000000,2383515420466,37585105964584,9560993043612,5655211673762,3905781369850,28024112920972,28024112920972,-53419891967,4708721366454,33644247578,37585105964584,229301430045,0,899980255674,1765000000000,23288184100000,23288184100000,2765249513853,992174571119,18406404405,424924071128,552470675578,0,7663311860,7663311860,VCI,quarterly
VRE,2019,2,4815223289934,702379310803,76125309785,1292915998297,864044166919,1879758504130,32396881992381,0,223247252000,27632323853869,830000000000,2602926995858,37212105282315,9904794563294,5979831793450,3924962769844,27307310719021,27307310719021,-53419891967,3992148194107,33415217974,37212105282315,419448497910,0,865293881586,1682000000000,23288184100000,23288184100000,2764079943602,939296933556,18511048373,443069989430,574530659109,0,6193802116,6193802116,VCI,quarterly
VRE,2019,1,5716028161779,1112607743953,701416674850,1049460122669,819527941327,2033015678980,32905283357116,0,299941979383,26521200343471,1832000000000,2620725222154,38621311518895,9509038501717,5611677526531,3897360975186,29112273017178,29112273017178,0,5794841420955,40684289283,38621311518895,246716853484,0,820820710198,1803813542549,23288184100000,23288184100000,2763447230560,979206242700,18078835131,461215907733,574169498988,2000000000,6193802116,6193802116,VCI,quarterly
VRE,2018,4,7122640820313,2431380824439,701416674850,1047919405624,901518194206,2040405721194,30981389521253,0,307841694121,25849769422004,1832000000000,1638193703708,38104030341566,9593150268159,5678593820504,3914556447655,28510880073407,28510880073407,0,5192512994080,41619772387,38104030341566,282451398435,0,903377872498,1783000000000,23288184100000,23288184100000,2762382304276,887933520492,18078835131,479361826035,593378680356,2000000000,10106962116,10106962116,VCI,quarterly
VRE,2018,3,7612490700119,2325004793606,14982629666,1226188264388,1380827216121,2665487796338,29162873768440,0,283421764906,24708793977546,1830000000000,1513994059022,36775364468559,8961949627231,5211412881590,3750536745641,27813414841328,27813414841328,0,4502419951159,34247583229,36775364468559,280147101446,0,1385069624560,2347000000000,19010787330000,19010787330000,2761317377993,1516013451145,18078835131,497507744338,524146984284,0,7969992452,7969992452,VCI,quarterly
VRE,2018,2,10217477751859,1532281471765,14982629666,1129069356921,2294077193010,5247067100497,25869757293982,0,302826859100,21241806995260,1830000000000,1378811447743,36087235045841,8831540599775,5283420550402,3548120049373,27255694446066,27255694446066,0,3947926255356,31020883770,36087235045841,291094202373,0,2331515606848,4667172915451,19010787330000,19010787330000,2769978269637,2227763487371,18078835131,515653662641,366392198860,0,9916542452,9916542452,VCI,quarterly
VRE,2018,1,13339606720807,1404510417149,60181546761,3886015542554,1969430771109,6019468443234,24780311068150,0,168008083922,20182535107678,1830000000000,1295693182130,38119917788957,11484363797369,7564061359875,3920302437494,26635553991588,26635553991588,0,3327907539583,30899145065,38119917788957,216186342947,2613600000000,1995721114816,5530383535897,19010787330000,19010787330000,3164168997122,2068718218890,2816883001794,533799580943,418129533238,0,9501088152,9501088152,VCI,quarterly
VRE,2017,4,9947736963704,1421529231881,62181546761,3775702071813,1655310507135,3033013606114,27902797834493,0,170582653735,20792485810840,1830000000000,3937416566328,37850534798197,11767500077507,7747516841278,4019983236229,26083034720690,26083034720690,0,2775531829080,30755584671,37850534798197,283427107972,2613600000000,1655310507135,2710383535897,19010787330000,19010787330000,3282206902927,2145569369315,2831322103766,551945499246,219152172128,0,7594538152,7594538152,VCI,quarterly
VRE,2017,3,6230831020365,2262618180880,59724265686,1608152059806,1714443461047,585893052946,30011387024425,2613600000000,185071013068,19098825470859,0,7293612166163,36242218044790,11092627585067,7306607582525,3786020002542,25149590459723,25149590459723,0,1842228845413,30614307372,36242218044790,436999707367,0,1714443461047,357383535897,19010787330000,19010787330000,3031675871995,1979332380894,2800824499997,570091417548,1221837752954,0,9580138152,2623180138152,VCI,quarterly
VRE,2017,2,12325989939808,4542872100509,58896443453,5803268587923,1240222105528,680730702395,24192969434346,2613600000000,176484065299,18921884920532,0,1779537292530,36518959374154,11618462596140,7401475304987,4216987291153,24900496778014,24900496778014,0,2048085149939,30614307373,36518959374154,358127231749,0,1240222105528,472358241832,15166399400000,21091724950000,3487559038665,1233179519331,2799187666664,588237335851,1189494104199,0,7580138151,2621180138151,VCI,quarterly
