ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
TCB,2020,2,395861051000000,4106425000000,8844670000000,45284968000000,9340287000000,9364565000000,-24278000000,0,229385470000000,231665787000000,-2280317000000,69556147000000,69178849000000,700000000000,-322702000000,11806000000,12466000000,-660000000,4126007000000,1148505000000,2977502000000,1142624000000,24062647000000,395861051000000,328431848000000,0,43577620000000,249857269000000,364698000000,0,23404482000000,11227779000000,67429203000000,35477962000000,5172660000000,-1105000000,26404162000000,35001400000000,0,375524000000,VCI,quarterly
TCB,2020,1,391807859000000,4150743000000,5284207000000,30990383000000,10436754000000,10446156000000,-9402000000,0,229037642000000,232021072000000,-2983430000000,85389715000000,85177290000000,700000000000,-487575000000,12223000000,12883000000,-660000000,3493005000000,1071752000000,2421253000000,1151574000000,21861613000000,391807859000000,327217089000000,1003839000000,62925859000000,235098792000000,385465000000,0,17472102000000,10331032000000,64590770000000,35477962000000,5172679000000,12359000000,23587283000000,35001400000000,0,340487000000,VCI,quarterly
TCB,2019,4,383699461000000,4820627000000,3192256000000,47990224000000,10041556000000,10052963000000,-11407000000,0,227885283000000,230802027000000,-2916744000000,66054597000000,66158709000000,202006000000,-306118000000,12223000000,12883000000,-660000000,3207777000000,793484000000,2414293000000,1160524000000,19334394000000,383699461000000,321626694000000,0,61266635000000,231296761000000,434008000000,0,17460634000000,11168656000000,62072767000000,35477967000000,5172684000000,0,21129945000000,35001400000000,0,292171000000,VCI,quarterly
TCB,2019,3,367538462000000,5409433000000,6563740000000,43304052000000,6977978000000,6988338000000,-10360000000,0,202462011000000,205317032000000,-2855021000000,82568226000000,74270714000000,8706200000000,-408688000000,12223000000,12883000000,-660000000,3504419000000,1111035000000,2393384000000,1169474000000,15566906000000,367538462000000,308597739000000,2000000000000,58857592000000,218654681000000,305999000000,0,14488610000000,14290857000000,58940723000000,35442539000000,3858169000000,-26000000,19438896000000,34965922000000,0,201145000000,VCI,quarterly
TCB,2019,2,360661683000000,5033905000000,9326009000000,42787014000000,3143477000000,3151232000000,-7755000000,0,182887287000000,185432165000000,-2544878000000,100234572000000,86320020000000,14406200000000,-491648000000,12223000000,12883000000,-660000000,3438994000000,1107511000000,2331483000000,1178424000000,12619778000000,360661683000000,304295988000000,3062737000000,56962932000000,220262623000000,368615000000,0,12642157000000,10996924000000,56365695000000,35442539000000,3865777000000,-70000000,16884667000000,34965922000000,0,172782000000,VCI,quarterly
TCB,2019,1,326111765000000,4784978000000,5329967000000,45810418000000,5448576000000,5459556000000,-10980000000,0,161272479000000,163835435000000,-2562956000000,87619240000000,72281089000000,15806200000000,-468049000000,12223000000,12883000000,-660000000,3104287000000,792161000000,2312126000000,1187374000000,11542223000000,326111765000000,272236804000000,2698912000000,38642789000000,207978332000000,391265000000,0,12865884000000,9659622000000,53874961000000,35442539000000,3867819000000,174000000,14485828000000,34965922000000,0,78601000000,VCI,quarterly
TCB,2018,4,321049453000000,2606467000000,10555483000000,35616169000000,7572229000000,7583090000000,-10861000000,0,157556934000000,159942048000000,-2385114000000,86512348000000,66625261000000,20236200000000,-349113000000,12223000000,12883000000,-660000000,1718596000000,788016000000,930580000000,1196324000000,17702680000000,321049453000000,269266748000000,6025027000000,36425560000000,201471336000000,310313000000,0,13177959000000,11856553000000,51782705000000,35442539000000,3867846000000,0,12403003000000,34965922000000,0,69317000000,VCI,quarterly
TCB,2018,3,311795636000000,4041877000000,5582643000000,43737213000000,5576396000000,5586683000000,-10287000000,0,164282010000000,166938850000000,-2656840000000,69000379000000,53276405000000,15986200000000,-262226000000,12223000000,12883000000,-660000000,1586082000000,653352000000,932730000000,1205274000000,16771539000000,311795636000000,262314635000000,2000000000000,39571425000000,193583132000000,382672000000,0,17240065000000,9537341000000,49481001000000,35442869000000,2650914000000,-499000000,11387717000000,34965922000000,0,0,VCI,quarterly
TCB,2018,2,300404808000000,3590328000000,3211552000000,51321690000000,7356386000000,7373729000000,-17343000000,0,164180966000000,166700421000000,-2519455000000,54618895000000,50610244000000,4171200000000,-162549000000,12223000000,12883000000,-660000000,1488775000000,590135000000,898640000000,1214224000000,13409769000000,300404808000000,252975368000000,2000000000000,37706302000000,186283209000000,67057000000,0,18904296000000,8014504000000,47429440000000,26126384000000,6147506000000,-350000000,15155900000000,11655307000000,0,0,VCI,quarterly
TCB,2018,1,273152696000000,3670967000000,3523522000000,31985206000000,3570608000000,3579184000000,-8576000000,113895000000,161610608000000,163948354000000,-2337746000000,53509756000000,47516807000000,6204863000000,-211914000000,9668000000,12084000000,-2416000000,1482782000000,562082000000,920700000000,1228013000000,12447671000000,273152696000000,235536897000000,2000000000000,25400971000000,181390553000000,0,0,20074063000000,6671310000000,37615799000000,18408877000000,6147506000000,4264000000,13055152000000,11655307000000,0,0,VCI,quarterly
