ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,data_source,period_type
TCB,2016,3,3981168000000,0.2901094164939734,1022338000000,1.529569100963739,3981168000000,-1968760000000,2012408000000,643052000000,-143710000000,499342000000,73831000000,38260000000,105990000000,291797000000,-208708000000,83089000000,0,2812920000000,-1094092000000,1718828000000,-441972000000,1276856000000,-254518000000,-254518000000,0,0,1022338000000,1022338000000,VCI,quarterly
TCB,2016,2,4020579000000,0.24219269195369697,792156000000,0.6143650191973784,4020579000000,-1827148000000,2193431000000,526728000000,-134610000000,392118000000,12778000000,28230000000,131061000000,115836000000,-130069000000,-14233000000,390000000,2743775000000,-834924000000,1908851000000,-903941000000,1004910000000,-212754000000,-212753000000,-1000000,0,792156000000,792156000000,VCI,quarterly
TCB,2016,1,3772799000000,0.07804113518950304,475742000000,0.5170537889513896,3772799000000,-1751073000000,2021726000000,666056000000,-108121000000,557935000000,74960000000,8293000000,134053000000,464857000000,-98651000000,366206000000,80000000,3163253000000,-981994000000,2181259000000,-1598831000000,582428000000,-106686000000,-106675000000,-11000000,0,475742000000,475742000000,VCI,quarterly
TCB,2015,4,3552818000000,0.07126396023727617,375766000000,1.0885403350415188,3552818000000,-1491257000000,2061561000000,527409000000,-176539000000,350870000000,-113726000000,126564000000,-191550000000,345355000000,-96950000000,248405000000,1659000000,2483783000000,-1161149000000,1322634000000,-837412000000,485222000000,-109456000000,-89686000000,-19770000000,0,375766000000,375766000000,VCI,quarterly
TCB,2015,3,3085915000000,-0.0797963210519834,404155000000,1.496401988943451,3085915000000,-1525727000000,1560188000000,469807000000,-132760000000,337047000000,-89149000000,66508000000,-36791000000,771950000000,-509899000000,262051000000,0,2099854000000,-904587000000,1195267000000,-675371000000,519896000000,-115741000000,-111910000000,-3831000000,0,404155000000,404155000000,VCI,quarterly
TCB,2015,2,3236679000000,0.04857927229091776,490692000000,1.2836479392382443,3236679000000,-1512212000000,1724467000000,346875000000,-114396000000,232479000000,12460000000,48292000000,-82632000000,672902000000,-470765000000,202137000000,8299000000,2145502000000,-798700000000,1346802000000,-723193000000,623609000000,-132917000000,-132807000000,-110000000,0,490692000000,490692000000,VCI,quarterly
TCB,2015,1,3499680000000,0.10229509373987174,313596000000,-0.40287105391937517,3499680000000,-1638015000000,1861665000000,340884000000,-122305000000,218579000000,-1587000000,62213000000,158744000000,519638000000,-192378000000,327260000000,857000000,2627731000000,-831569000000,1796162000000,-1387958000000,408204000000,-94608000000,-94164000000,-444000000,0,313596000000,313596000000,VCI,quarterly
TCB,2014,4,3316473000000,0.06701480191456155,179918000000,0.8694721529509559,3316473000000,-1725599000000,1590874000000,376876000000,-144857000000,232019000000,16876000000,24125000000,-63168000000,373791000000,-231426000000,142365000000,0,1943091000000,-1098840000000,844251000000,-590206000000,254045000000,-74127000000,-74642000000,515000000,0,179918000000,179918000000,VCI,quarterly
TCB,2014,3,3353513000000,0.05840003736814631,161895000000,2.0267536643733175,3353513000000,-1749410000000,1604103000000,332440000000,-92392000000,240048000000,7429000000,58104000000,71908000000,260367000000,-168217000000,92150000000,2974000000,2076716000000,-765986000000,1310730000000,-1096485000000,214245000000,-52350000000,-48349000000,-4001000000,0,161895000000,161895000000,VCI,quarterly
TCB,2014,2,3086728000000,-0.04229001901936997,214872000000,1.266151996456369,3086728000000,-1802858000000,1283870000000,418163000000,-202712000000,215451000000,-21982000000,-25147000000,38532000000,212996000000,-160304000000,52692000000,1467000000,1544883000000,-776290000000,768593000000,-492998000000,275595000000,-60723000000,-53879000000,-6844000000,0,214872000000,214872000000,VCI,quarterly
TCB,2014,1,3174903000000,-0.1604388275718726,525173000000,0.32155232504007386,3174903000000,-1881120000000,1293783000000,537926000000,-102861000000,435065000000,20575000000,40145000000,30382000000,138768000000,-417528000000,-278760000000,552000000,1541742000000,-789929000000,751813000000,-78677000000,673136000000,-147963000000,-147213000000,-750000000,0,525173000000,525173000000,VCI,quarterly
TCB,2013,4,3108179000000,0.0,96240000000,0.0,3108179000000,-2001297000000,1106882000000,310546000000,-92152000000,218394000000,39994000000,-6010000000,-36389000000,183129000000,-147148000000,35981000000,196000000,1359048000000,-799519000000,559529000000,-431209000000,128320000000,-32080000000,-32080000000,0,0,96240000000,96240000000,VCI,quarterly
TCB,2013,3,3168474000000,0.0,53488000000,0.0,3168474000000,-2150263000000,1018211000000,285720000000,-134626000000,151094000000,-118346000000,13473000000,83229000000,160821000000,-39604000000,121217000000,14141000000,1283019000000,-872972000000,410047000000,-312732000000,97315000000,-43827000000,-44696000000,869000000,0,53488000000,53488000000,VCI,quarterly
TCB,2013,2,3223030000000,0.0,94818000000,0.0,3223030000000,-2302487000000,920543000000,320029000000,-75755000000,244274000000,-61209000000,163825000000,-21655000000,157447000000,-32399000000,125048000000,8319000000,1379145000000,-770788000000,608357000000,-353176000000,255181000000,-160363000000,-160363000000,0,0,94818000000,94818000000,VCI,quarterly
TCB,2013,1,3781622000000,0.0,397391000000,0.0,3781622000000,-2491596000000,1290026000000,233743000000,-111262000000,122481000000,18060000000,36508000000,21655000000,239881000000,-107994000000,131887000000,6007000000,1626624000000,-912386000000,714238000000,-316847000000,397391000000,0,0,0,0,397391000000,397391000000,VCI,quarterly
