ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
TCB,2019,1,84950000000,2950197000000,6253485000000,-27000000,-10355000000,34000000,11038000000,58201000000,58201000000,6322697000000,37198979000000,174000000,43521850000000,6253458000000,21389000000,0,0,0,VCI,yearly
TCB,2018,4,-25779000000,3332796000000,-5301948000000,-59000000,-214783000000,-1000000,-214852000000,0,57871000000,-5458988000000,42604730000000,499000000,37146241000000,-5302007000000,0,0,1000000,0,VCI,yearly
TCB,2018,3,114824000000,2594128000000,-5809515000000,0,-128196000000,0,-128042000000,0,-1507761000000,-7445318000000,50050197000000,-149000000,42604730000000,-5809515000000,-6060000000,0,0,0,VCI,yearly
TCB,2018,2,53886000000,2948562000000,19534066000000,0,-28496000000,276000000,-34251000000,0,6517507000000,26017322000000,24037489000000,-4614000000,50050197000000,19534066000000,4437000000,894427000000,-894428000000,0,VCI,yearly
TCB,2018,1,67951000000,957757000000,-8163415000000,0,-15166000000,0,883680000000,0,8631761000000,1352026000000,22681199000000,4264000000,24037489000000,-8163415000000,2398000000,0,894428000000,0,VCI,yearly
TCB,2017,4,62376000000,6135059000000,1506497000000,-239000000,-110265000000,63000000,-104949000000,2099999000000,4799999000000,6201308000000,16590726000000,411000000,22792445000000,1506258000000,4953000000,0,300000000,0,VCI,yearly
TCB,2017,3,11282000000,1793357000000,2862344000000,0,-51164000000,271000000,-51033000000,0,-4043249000000,-1231938000000,17803518000000,19146000000,16590726000000,2862344000000,376000000,0,0,0,VCI,yearly
TCB,2017,2,379469000000,1651043000000,-1674619000000,-24000000,-5556000000,0,-5149000000,0,16328000000,-1663464000000,18116347000000,1350635000000,17803518000000,-1674643000000,271000000,0,300000000,0,VCI,yearly
TCB,2017,1,144944000000,1388060000000,4385098000000,0,-8830000000,0,916508000000,0,-8164000000,5293442000000,12816151000000,6754000000,18116347000000,4385098000000,195000000,0,925180000000,0,VCI,yearly
TCB,2016,4,178126000000,2170851000000,1380584000000,0,-136445000000,0,-134241000000,0,0,1246343000000,12941836000000,4918000000,14193097000000,1380584000000,1788000000,0,748000000,0,VCI,yearly
TCB,2016,3,-436604000000,918162000000,-976894000000,-2000000,-14435000000,0,-13577000000,0,0,-990473000000,13947532000000,-15223000000,12941836000000,-976896000000,214000000,0,710000000,0,VCI,yearly
TCB,2016,2,-73510000000,982875000000,8808914000000,-125000000,-738664000000,390000000,-721064000000,0,0,8087725000000,12722776000000,-12969000000,13947532000000,8808789000000,257000000,0,17100000000,0,VCI,yearly
TCB,2016,1,342193000000,1880885000000,-6850751000000,0,-56397000000,80000000,-56917000000,0,0,-6907668000000,19607170000000,23274000000,12722776000000,-6850751000000,44000000,0,0,0,VCI,yearly
TCB,2015,4,216221000000,2512989000000,-5672121000000,-15459000000,-46172000000,-13648000000,23012000000,0,0,-5664568000000,16847696000000,6916000000,11190044000000,-5687580000000,39745000000,0,0,0,VCI,yearly
TCB,2015,3,182678000000,926938000000,455321000000,-413000000,-19742000000,15306000000,37118000000,0,0,492026000000,16352840000000,2830000000,16847696000000,454908000000,46564000000,1677000000,36400000000,0,VCI,yearly
TCB,2015,2,-129415000000,-446254000000,6506172000000,-24000000,-25109000000,8300000000,-18089000000,0,0,6488059000000,9882787000000,-18006000000,16352840000000,6506148000000,234000000,-1677000000,0,0,VCI,yearly
TCB,2015,1,327260000000,3382375000000,-8159705000000,-732000000,-33242000000,857000000,-32511000000,0,0,-8192948000000,18067475000000,8260000000,9882787000000,-8160437000000,37000000,0,0,0,VCI,yearly
TCB,2014,4,-110741000000,2892932000000,-5215426000000,-1105000000,-121826000000,0,-630699000000,0,0,-5847230000000,24127165000000,0,18279935000000,-5216531000000,8843000000,-509005000000,0,0,VCI,yearly
TCB,2014,3,154605000000,1167318000000,5049019000000,-996000000,-32528000000,2974000000,-28521000000,0,0,5019502000000,19107663000000,0,24127165000000,5048023000000,1033000000,0,0,0,VCI,yearly
TCB,2014,2,5004000000,838567000000,2290860000000,-116000000,-28045000000,1467000000,-19215000000,0,0,2271529000000,16836134000000,0,19107663000000,2290744000000,1558000000,0,0,0,VCI,yearly
TCB,2014,1,14405000000,897543000000,-350068000000,0,-5248000000,552000000,-10526000000,0,0,-360594000000,17196728000000,0,16836134000000,-350068000000,0,0,0,0,VCI,yearly
TCB,2013,4,-298363000000,1165062000000,-8214006000000,692000000,-198362000000,-11214000000,-201132000000,0,0,-8414446000000,25611174000000,0,17196728000000,-8213314000000,2837000000,600000000,0,0,VCI,yearly
TCB,2013,3,-362584000000,1445103000000,2271645000000,-186000000,-65513000000,14141000000,-92762000000,0,0,2178697000000,23432477000000,0,25611174000000,2271459000000,17000000,-36400000000,0,0,VCI,yearly
TCB,2013,2,80408360000,-346529610000,2008041930000,-70000000,-24655530000,8319290000,-16011390000,0,0,1991960540000,21440516450000,0,23432476990000,2007971930000,324980000,-360000,0,0,VCI,yearly
TCB,2013,1,-686834360000,785001610000,-1152913930000,0,-34627470000,6006710000,-28538610000,0,0,-1181452540000,22621968990000,0,21440516450000,-1152913930000,82020000,360000,0,0,VCI,yearly
