ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
VJC,2019,1,0.08572799396595984,13636768648167,1463130869831,0.07126999880440539,112644515820,-58377966542,13636768648167,0,13636768648167,-11390941602751,2245827045416,-356236957402,-10500907662,-205115087816,-139967356366,1646651251990,946458029,-83262577,863195452,1647514447442,-143781165758,-40927742493,1462805539191,-325330640,1463130869831,VCI,quarterly
VJC,2018,4,-0.06566163894575662,18453063267284,1535446530004,-0.12492327439173068,217743915993,-67547194766,18453063267284,0,18453063267284,-16072233263491,2380830003793,-236655869190,-40700173876,-227904202396,-134526891599,1958786782725,2616209318,-719429668,1896779650,1960683562375,-39733525251,-385034150325,1535915886799,469356795,1535446530004,VCI,quarterly
VJC,2018,3,1.054901562056949,12712852102754,1682483941645,0.7405506091272496,111067227739,-78209171264,12712852102754,0,12712852102754,-10555914977261,2156937125493,-325273382280,0,-166016055214,-70184197684,1706530718054,2764676430,-43736246,2720940184,1709251658238,-111149174839,83881307707,1681983791106,-500150539,1682483941645,VCI,quarterly
VJC,2018,2,-0.23459605279431917,8661889067260,632993348135,-0.554139510665915,33269270558,-55526919945,8661889067260,0,8661889067260,-7473475942861,1188413124399,-294396376527,-31492922271,-153322168376,-64797502221,677673425562,834813600,-56998359,777815241,678451240803,-61700375007,16420024918,633170890714,177542579,632993348135,VCI,quarterly
VJC,2018,1,1.4595204978506984,12560023066509,1365790950427,2.6280237027733957,103965779485,-56222160681,12560023066509,0,12560023066509,-10749927683591,1810095382918,-199105724274,-8385404133,-166418822858,-60896848870,1479254362268,1640533109,-6106450,1634426659,1480888788927,-53927536372,-61262931058,1365698321497,-92628930,1365790950427,VCI,quarterly
VJC,2017,4,1.454231635583887,19749872248061,1754642176018,2.3681534829675708,62088888101,-62662139951,19749872248061,0,19749872248061,-17685959227473,2063913020588,-165099277939,-9501174696,-118155974936,-65797118729,1767448362389,527024409,-1530951465,-1003927056,1766444435333,-11969876633,-17006684,1754457552016,-184624002,1754642176018,VCI,quarterly
VJC,2017,3,0.0,6186599074862,966638908873,0.0,79841423093,-57107916709,6186599074862,0,6186599074862,-4751342949230,1435256125632,-185674957648,-10550776894,-187687395908,-56051427096,1075132991179,168526513,-2930720,165595793,1075298586972,-91604219449,-17888944218,965805423305,-833485568,966638908873,VCI,quarterly
VJC,2017,2,0.0,11316755157695,1419711688471,0.0,5113440745,-57519206409,11316755157695,-185595188,11316569562507,-9568044931855,1748524630652,-81314035587,-14638308639,-126898346636,-50323103890,1480464276645,8545890164,-7177036,8538713128,1489002989773,-41555553617,-27331233035,1420116203121,404514650,1419711688471,VCI,quarterly
VJC,2017,1,0.0,5106695828510,376455906113,0.0,23232051986,-60377962735,5106695828510,0,5106695828510,-4335961311990,770734516520,-177512626274,-4576817514,-141631228377,-52159547563,418086348778,366645842,-13165414,353480428,418439829206,-32044031294,-9945944492,376449853420,-6052693,376455906113,VCI,quarterly
VJC,2016,4,0.0,8047273110536,520950777597,0.0,12719233029,-54546284886,8047273110536,0,8047273110536,-6890853994850,1156419115686,-334496213108,-9768643720,-186745517528,-49197841174,588930133185,15283596527,-9999921,15273596606,604203729791,-69333906044,-11985613561,522884210186,1933432589,520950777597,VCI,quarterly
