ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
DGC,2017,2,859867197699,222397268175,0,460580462250,159553857404,17335609870,1222263254403,622594574113,465747094787,73798213614,2082130452102,603056873444,603056873444,0,1479073578658,1479073578658,0,357332567019,385226845506,2082130452102,37617144078,98871678232,159553857404,0,235362146133,500088750000,500088750000,4789555857,311196952284,0,73398701666,0,0,VCI,quarterly
DGC,2017,1,757855922274,189616222608,0,450269244603,109731375039,8239080024,1166979312238,637966053930,443570949752,46558828536,1924835234512,516966323768,516966323768,0,1407868910744,1407868910744,0,329974528337,360962997393,1924835234512,27107868610,118736629545,109731375039,0,215779365014,500088750000,500088750000,13545276227,247313057466,0,46209444588,0,0,VCI,quarterly
DGC,2016,4,831292566797,186292101548,0,460718946772,172923162180,11358356297,1160346642363,628307207200,420736836473,52477932910,1991639209160,632786463025,632786463025,0,1358852746135,1358852746135,0,290828292282,351093068839,1991639209160,25794939632,232304697964,172923162180,0,215779365014,500088750000,500088750000,17857595099,378866449551,0,52128548962,0,0,VCI,quarterly
DGC,2016,3,870965169031,194727148635,0,472413500891,166595758799,37228760706,1121497300821,588069781983,396356212070,52590653997,1992462469852,689261959517,689261959517,0,1303200510335,1303200510335,0,244518419130,341750706191,1992462469852,32324662812,209113315122,166595758799,0,215779365014,500088750000,500088750000,1818356389,390320222362,0,52241270049,0,0,VCI,quarterly
DGC,2016,2,782048339620,78834758146,0,503686877469,162930126927,36596577078,1033939238598,586997231538,348885460316,51420297421,1815987578218,592581201855,592581201855,0,1223406376363,1223406376363,0,260708301610,323759799739,1815987578218,54456849625,296505960187,162930126927,0,215779365014,422091320000,422091320000,3684108293,296981061905,0,51045147155,0,0,VCI,quarterly
DGC,2016,1,799406230374,14058326691,0,634120308954,124472416843,26755177886,1019166967997,578863015593,352174963867,51675156723,1818573198371,620769638959,620769638959,0,1197803559412,1197803559412,0,273198209008,304266809514,1818573198371,43785326590,358652128473,124472416843,0,197179630890,422091320000,422091320000,4844366278,338608320376,0,51283635156,0,0,VCI,quarterly
DGC,2015,4,756591305717,10914548041,0,538067009996,177356903653,30252844027,1052988508529,612212271302,362914547662,49080256703,1809579814246,583001317471,583001317471,0,1226578496775,1226578496775,0,273592507486,350709380940,1809579814246,38453045215,368035677625,177356903653,0,179117698349,422091320000,422091320000,5090005265,332673654018,0,48686153771,0,0,VCI,quarterly
DGC,2015,3,910290165892,6437060036,0,685959256193,177764449601,40129400062,863173446051,585444222632,201567919709,37785577245,1773463611943,632912701660,632912701660,0,1140550910283,1140550910283,0,211605095674,326669206260,1773463611943,44779413344,444818746432,177764449601,0,179117698349,422091320000,422091320000,15141935084,391530966691,0,37383147238,0,0,VCI,quarterly
DGC,2015,2,813640795405,19128581090,0,553230617033,194847735492,46433861790,805726707858,597970988413,138607206822,36264584636,1619367503263,604811656918,604811656918,0,723417479182,723417479182,0,121140870833,0,1619367503263,39394934828,314461715668,194847735492,0,179117698349,422091320000,422091320000,14152980035,258957346263,0,35866564369,0,0,VCI,quarterly
DGC,2015,1,779225682847,6420421361,0,574495278486,156692910110,41617072890,749040981216,605727358071,109594234646,33719388499,1528266664063,545973122988,545973122988,0,665570637563,665570637563,0,162811454701,0,1528266664063,35036145053,0,156692910110,0,166696152862,334993660000,334993660000,19960899210,257501433407,0,33700911950,0,0,VCI,quarterly
DGC,2014,4,948819207399,8519935385,0,744107374446,158628268582,37563628986,730663061254,583530659904,98764230690,48368170660,1679482268653,731216115168,731216115168,0,639277187369,639277187369,0,179500816522,0,1679482268653,23798735125,0,158628268582,199043464,82495474718,334993660000,334993660000,48540584983,452585006255,0,48336420660,0,0,VCI,quarterly
DGC,2014,3,1049461392556,5073528976,0,767461530188,245917988202,31008345190,618231566252,491644993298,92547853598,34038719356,1667692958808,780477384103,780477384103,0,594667672832,594667672832,0,134891301985,0,1667692958808,43278083341,0,245917988202,407735958,82495474718,334993660000,334993660000,63444993232,433000342967,0,34006969356,0,0,VCI,quarterly
DGC,2014,2,931779223159,13254389999,0,604741413718,264073745362,49709674080,588887177437,462262209797,92408302257,34216665383,1520666400596,690826138386,690826138386,0,557114713585,557114713585,0,97338342738,0,1520666400596,46544937464,0,264073745362,1086662283,82495474718,334993660000,334993660000,9960316217,447769136324,0,34184915383,0,0,VCI,quarterly
DGC,2014,1,947815369365,115872822165,0,566098663642,218912736277,46931147281,458469850825,347089380696,109008144673,2372325456,1406285220190,609703123821,609703123821,0,626746048187,626746048187,0,136302824184,0,1406285220190,55697417137,0,218912736277,541888599,101747883377,334993660000,334993660000,10773284944,240438183502,0,2340575456,0,0,VCI,quarterly
DGC,2013,3,923134887043,325519246097,0,392304685031,178883498229,26427457686,359448442268,238692863706,117357256966,3398321596,1282583329311,473741327371,473741327371,0,592483911283,592483911283,0,262699711362,0,1282583329311,58966067731,0,178883498229,465855450,74994898038,220000000000,220000000000,8068208385,193799750917,0,3366571596,0,0,VCI,quarterly
