ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
LPB,2019,4,202058040000000,1213646000000,6621943000000,11663649000000,0,0,0,87900000000,138802033000000,140522626000000,-1720593000000,34796118000000,34782319000000,359343000000,-345544000000,324731000000,324731000000,1503478000000,1034898000000,468580000000,7044542000000,202058040000000,189478240000000,287008000000,17533192000000,136847259000000,0,1158625000000,28155937000000,5496219000000,12579800000000,8944772000000,1473387000000,0,2161641000000,8881441000000,0,VCI,yearly
LPB,2019,3,193536377000000,2986683000000,4570248000000,10786992000000,0,0,0,109647000000,133138216000000,134742339000000,-1604123000000,33112168000000,32958444000000,615838000000,-462114000000,324731000000,324731000000,1502498000000,1033459000000,469039000000,7005194000000,193536377000000,181245761000000,2295670000000,15963660000000,132996788000000,0,1160000000000,23742813000000,5086830000000,12290616000000,8944772000000,1209938000000,0,2135906000000,8881441000000,0,VCI,yearly
LPB,2019,2,189954560000000,2284155000000,4196907000000,13222004000000,0,0,0,95454000000,127664362000000,129209502000000,-1545140000000,33844662000000,33506468000000,1155752000000,-817558000000,324731000000,324731000000,1436386000000,969776000000,466610000000,6885899000000,189954560000000,178077330000000,3826795000000,19556249000000,130052553000000,0,1164000000000,18765644000000,4712089000000,11877230000000,8944772000000,1209938000000,0,1722520000000,8881441000000,0,VCI,yearly
LPB,2019,1,181900548000000,2199200000000,5869802000000,6379748000000,278400000000,278400000000,0,88643000000,122186551000000,123757543000000,-1570992000000,36098665000000,35650415000000,1175212000000,-726962000000,324731000000,324731000000,1442523000000,970103000000,472420000000,7032285000000,181900548000000,170282916000000,2602140000000,21091525000000,125843171000000,0,1160000000000,14887144000000,4698936000000,11617632000000,8944772000000,1205138000000,0,1467722000000,8881441000000,0,VCI,yearly
LPB,2018,4,175094532000000,1663726000000,6255784000000,5108151000000,0,0,0,65547000000,117710462000000,119193424000000,-1482962000000,35665848000000,35180371000000,1175212000000,-689735000000,324731000000,324731000000,1462219000000,985638000000,476581000000,6838064000000,175094532000000,164893640000000,7345046000000,16440956000000,124948075000000,0,1161500000000,10119764000000,4878299000000,10200892000000,7563325000000,1205138000000,0,1432429000000,7499994000000,0,VCI,yearly
LPB,2018,3,167328159000000,1308795000000,5590851000000,2971040000000,0,0,0,21202000000,113900829000000,115194840000000,-1294011000000,34736865000000,34005178000000,1609415000000,-877728000000,324731000000,324731000000,1469901000000,990923000000,478978000000,7003945000000,167328159000000,157260834000000,2308165000000,11487502000000,127541903000000,0,1167500000000,10001175000000,4754589000000,10067325000000,7563325000000,1065944000000,0,1438056000000,7499994000000,0,VCI,yearly
LPB,2018,2,175833221000000,1299802000000,6753020000000,11118215000000,0,0,0,0,113206611000000,114525071000000,-1318460000000,34587016000000,33852181000000,1609415000000,-874580000000,324731000000,324731000000,1493099000000,1013845000000,479254000000,7050727000000,175833221000000,166084285000000,2316887000000,1682098000000,146316056000000,69439000000,1147750000000,10396088000000,4155967000000,9748936000000,7563325000000,1065944000000,0,1119667000000,7499994000000,0,VCI,yearly
LPB,2018,1,169797222000000,1561434000000,6002083000000,9929602000000,0,0,0,0,106930166000000,108137156000000,-1206990000000,36700896000000,35813370000000,1715663000000,-828137000000,324731000000,324731000000,1426524000000,974876000000,451648000000,6921786000000,169797222000000,160138889000000,2324728000000,2713607000000,144349310000000,7463000000,1122900000000,6151481000000,3469400000000,9658333000000,7499994000000,1065945000000,0,1092394000000,7499994000000,0,VCI,yearly
LPB,2017,4,163433639000000,892779000000,10939956000000,12352188000000,0,0,0,0,99391852000000,100621236000000,-1229384000000,31863910000000,30934260000000,1715663000000,-786013000000,324731000000,324731000000,1454298000000,998032000000,456266000000,6213925000000,163433639000000,154050381000000,1331519000000,13538858000000,128275377000000,49120000000,1121250000000,6157131000000,3577126000000,9383258000000,6523331000000,1065944000000,0,1793983000000,6460000000000,0,VCI,yearly
LPB,2017,3,148049466000000,1691409000000,9701387000000,1247287000000,0,0,0,0,93674281000000,94866715000000,-1192434000000,33809373000000,32785532000000,1826042000000,-802201000000,324731000000,324731000000,1342572000000,893358000000,449214000000,6258426000000,148049466000000,138908422000000,2322688000000,4284570000000,122443998000000,16213000000,1123500000000,6191555000000,2525898000000,9141044000000,6523331000000,867572000000,0,1750141000000,6460000000000,0,VCI,yearly
