ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
LPB,2020,2,4249860000000,0.044000032426480935,320633000000,-0.3422089738408293,4249860000000,-2786029000000,1463831000000,174276000000,-61328000000,112948000000,28555000000,0,1179000000,122584000000,-12368000000,110216000000,275000000,1717004000000,-1062997000000,654007000000,-253374000000,400633000000,-80000000000,-80000000000,320633000000,320633000000,-2,VCI,quarterly
LPB,2020,1,4300039000000,0.14546775817210578,485656000000,0.18375305897608393,4300039000000,-2862158000000,1437881000000,144518000000,-47907000000,96611000000,7075000000,0,-63840000000,19713000000,-2394000000,17319000000,0,1495046000000,-928707000000,566339000000,37318000000,603657000000,-118001000000,-118001000000,485656000000,485656000000,497,VCI,quarterly
LPB,2019,4,4264946000000,0.15840121768114745,289184000000,1.165085687332949,4264946000000,-2702480000000,1562466000000,247534000000,-53734000000,193800000000,16748000000,0,-17708000000,27397000000,-13950000000,13447000000,0,1768753000000,-1240857000000,527896000000,-125330000000,402566000000,-113382000000,-113382000000,289184000000,289184000000,338,VCI,quarterly
LPB,2019,3,4170196000000,0.17477325406474978,413386000000,0.47615714785639296,4170196000000,-2636298000000,1533898000000,143038000000,-47904000000,95134000000,11680000000,0,-22253000000,13462000000,-6131000000,7331000000,0,1625790000000,-982084000000,643706000000,-124320000000,519386000000,-106000000000,-106000000000,413386000000,413386000000,490,VCI,quarterly
LPB,2019,2,4070747000000,0.18605254210078082,487439000000,4.379765136966647,4070747000000,-2507406000000,1563341000000,119721000000,-50412000000,69309000000,10954000000,4070000000,-27848000000,14132000000,111412000000,125544000000,275000000,1745645000000,-1084577000000,661068000000,-55629000000,605439000000,-118000000000,-118000000000,487439000000,487439000000,253,VCI,quarterly
LPB,2019,1,3753959000000,0.17583166567426728,410268000000,-0.017065533276951348,3753959000000,-2352788000000,1401171000000,82191000000,-47023000000,35168000000,24600000000,0,14004000000,40353000000,-145715000000,-105362000000,0,1369581000000,-724663000000,644918000000,-133485000000,511433000000,-101165000000,-101165000000,410268000000,410268000000,544,VCI,quarterly
LPB,2018,4,3681752000000,0.2045252895373945,133567000000,-0.44855788682735104,3681752000000,-2253058000000,1428694000000,126564000000,-57437000000,69127000000,13862000000,0,-40628000000,9659000000,-74789000000,-65130000000,0,1405925000000,-940446000000,465479000000,-266912000000,198567000000,-65000000000,-65000000000,133567000000,133567000000,178,VCI,quarterly
LPB,2018,3,3549788000000,0.21533120609139836,280042000000,-0.3321695748704484,3549788000000,-2283674000000,1266114000000,83153000000,-41401000000,41752000000,-21286000000,0,86030000000,694000000,-58050000000,-57356000000,0,1315254000000,-763554000000,551700000000,-203658000000,348042000000,-68000000000,-68000000000,280042000000,280042000000,373,VCI,quarterly
LPB,2018,2,3432181000000,0.2018926008711861,90606000000,-0.7453585821965162,3432181000000,-2306169000000,1126012000000,73538000000,-51126000000,22412000000,-35513000000,-7887000000,-99989000000,46869000000,-97421000000,-50552000000,0,954483000000,-708827000000,245656000000,-134637000000,111019000000,-20413000000,-20413000000,90606000000,90606000000,-69,VCI,quarterly
LPB,2018,1,3192599000000,0.19274051702623984,417391000000,0.19009072712860897,3192599000000,-1997298000000,1195301000000,47902000000,-28704000000,19198000000,49851000000,7887000000,49904000000,978000000,-119337000000,-118359000000,0,1203782000000,-635241000000,568541000000,-61162000000,507379000000,-89988000000,-89988000000,417391000000,417391000000,557,VCI,quarterly
LPB,2017,4,3056600000000,0.18975331477433377,242214000000,-0.33343240454076367,3056600000000,-1732866000000,1323734000000,67768000000,-43725000000,24043000000,-2247000000,-62000000,70509000000,10120000000,-77396000000,-67276000000,0,1348701000000,-973941000000,374760000000,-40336000000,334424000000,-92210000000,-92210000000,242214000000,242214000000,375,VCI,quarterly
LPB,2017,3,2920840000000,0.2535444290180746,419331000000,0.26965349772308883,2920840000000,-1558916000000,1361924000000,51385000000,-27657000000,23728000000,-9203000000,14312000000,-4089000000,2201000000,-126611000000,-124410000000,0,1262262000000,-630988000000,631274000000,-107943000000,523331000000,-104000000000,-104000000000,419331000000,419331000000,649,VCI,quarterly
