ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
SHB,2020,2,391362083000000,1514187000000,9885008000000,39088600000000,437000000,3889000000,-3452000000,152036000000,284017198000000,287378706000000,-3361508000000,18453871000000,9791793000000,9030982000000,-368904000000,133140000000,0,165891000000,-32751000000,4842183000000,517628000000,0,4324555000000,0,33275423000000,391362083000000,368535079000000,670384000000,43509621000000,279394833000000,0,2506566000000,33017621000000,9436054000000,22827004000000,17654787000000,1823342000000,-63931000000,0,3412806000000,0,17558331000000,0,0,VCI,yearly
SHB,2020,1,368981764000000,1564767000000,4279318000000,25361596000000,502000000,3889000000,-3387000000,0,279029514000000,282159983000000,-3130469000000,21672999000000,9201662000000,13211837000000,-740500000000,133140000000,0,165891000000,-32751000000,4823432000000,502690000000,0,4320742000000,0,32116496000000,368981764000000,349777399000000,698519000000,47482831000000,262539921000000,16451000000,2784230000000,25479873000000,10775574000000,19204365000000,14646987000000,1797576000000,7494000000,0,2752308000000,0,14550531000000,0,0,VCI,yearly
SHB,2019,4,365643130000000,1754801000000,10162106000000,33711348000000,502000000,3889000000,-3387000000,172946000000,262075280000000,265204149000000,-3128869000000,21593902000000,6558244000000,15780793000000,-745135000000,160834000000,0,165891000000,-5057000000,4817510000000,498337000000,0,4319173000000,0,31193901000000,365643130000000,346933351000000,725071000000,48524898000000,259351020000000,0,2509687000000,26732764000000,9089911000000,18709779000000,14647138000000,1475320000000,0,0,2587321000000,0,14550682000000,0,0,VCI,yearly
SHB,2019,3,357238825000000,1412154000000,5686277000000,26962037000000,608000000,3889000000,-3281000000,152923000000,249482533000000,252778332000000,-3295799000000,37813551000000,17423230000000,22406037000000,-2015716000000,160834000000,0,165891000000,-5057000000,4816676000000,501357000000,0,4315319000000,0,30751232000000,357238825000000,339036003000000,2755143000000,51237822000000,246239514000000,0,2175744000000,28350444000000,8277336000000,18202822000000,12132617000000,1520002000000,12123000000,0,4538080000000,0,12036161000000,0,0,VCI,yearly
SHB,2019,2,341946780000000,1844678000000,6823810000000,23109676000000,608000000,3889000000,-3281000000,101182000000,236954954000000,240006481000000,-3051527000000,44374590000000,22212117000000,24122393000000,-1959920000000,188693000000,0,193750000000,-5057000000,4795883000000,486149000000,0,4309734000000,0,23752706000000,341946780000000,324527047000000,2782863000000,43684182000000,244466325000000,0,1782903000000,24195506000000,7615268000000,17419733000000,12132617000000,1470256000000,-22508000000,0,3839368000000,0,12036161000000,0,0,VCI,yearly
SHB,2019,1,333105683000000,2115252000000,5699065000000,23632208000000,655000000,3889000000,-3234000000,55533000000,223012161000000,226014390000000,-3002229000000,50654459000000,28461107000000,24119774000000,-1926422000000,187767000000,0,193750000000,-5983000000,4791494000000,480752000000,0,4310742000000,0,22957089000000,333105683000000,316039859000000,1231700000000,53373575000000,232940151000000,0,1495400000000,20518972000000,6480061000000,17065824000000,12132617000000,1466906000000,-14676000000,0,3480977000000,0,12036161000000,0,0,VCI,yearly
SHB,2018,4,323338621000000,1884822000000,4195088000000,30072682000000,1749925000000,1763577000000,-13652000000,58228000000,214001342000000,216988882000000,-2987540000000,46273876000000,23433318000000,24761139000000,-1920581000000,195767000000,0,201750000000,-5983000000,4789366000000,482605000000,0,4306761000000,0,20117525000000,323338621000000,306784828000000,12096858000000,45029846000000,225225592000000,0,1473711000000,16721736000000,6237085000000,16553793000000,12132617000000,1228085000000,0,0,3193091000000,0,12036161000000,0,0,VCI,yearly
SHB,2018,3,299697687000000,1497837000000,2926208000000,32308152000000,1022343000000,1025469000000,-3126000000,0,194009452000000,197029864000000,-3020412000000,38392766000000,15840187000000,24515609000000,-1963030000000,206838000000,0,222750000000,-15912000000,3979172000000,448579000000,0,3530593000000,0,25354919000000,299697687000000,283643684000000,2863419000000,39814016000000,219406083000000,8712000000,1254004000000,14371485000000,5925965000000,16054003000000,12132617000000,1224604000000,-2166000000,0,2698948000000,0,12036161000000,0,0,VCI,yearly
SHB,2018,2,303929985000000,1699666000000,2106015000000,39528572000000,444525000000,451004000000,-6479000000,0,205447635000000,208360280000000,-2912645000000,25449127000000,12936934000000,14427404000000,-1915211000000,216890000000,0,227250000000,-10360000000,3977996000000,453100000000,0,3524896000000,0,25059559000000,303929985000000,288395441000000,2901419000000,41328707000000,219636986000000,42849000000,1321154000000,17202725000000,5961601000000,15534544000000,12132617000000,1221262000000,33491000000,0,2147174000000,0,12036161000000,0,0,VCI,yearly
SHB,2018,1,286904619000000,1544960000000,2068491000000,30818086000000,448165000000,451004000000,-2839000000,40004000000,199623984000000,202487737000000,-2863753000000,21031396000000,11725269000000,11092896000000,-1786769000000,215465000000,0,227250000000,-11785000000,3986333000000,456636000000,0,3529697000000,0,27127735000000,286904619000000,271702376000000,2926315000000,36593374000000,208444041000000,0,1675843000000,16921084000000,5141719000000,15202243000000,12132617000000,1220998000000,19729000000,0,1828899000000,0,12036161000000,0,0,VCI,yearly
