ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
SHB,2016,1,3392085000000,0.2710460199307912,244346000000,0.47455765563521374,3392085000000,-2503591000000,888494000000,42280000000,-14902000000,27378000000,26114000000,453000000,-3042000000,70451000000,-30487000000,39964000000,750000000,980111000000,-506872000000,473239000000,-168289000000,304950000000,-60604000000,-60604000000,0,0,244346000000,244346000000,0,VCI,quarterly
SHB,2015,4,3509144000000,0.17375685987402412,239506000000,0.059715249359445555,3509144000000,-2337958000000,1171186000000,175744000000,-23539000000,152205000000,21802000000,1086000000,7099000000,44042000000,-23059000000,20983000000,5030000000,1379391000000,-623630000000,755761000000,-456801000000,298960000000,-59454000000,-59454000000,0,0,239506000000,239506000000,0,VCI,quarterly
SHB,2015,3,2942081000000,0.09991062743201086,192899000000,0.013112073743490455,2942081000000,-2130699000000,811382000000,59824000000,-21938000000,37886000000,23295000000,222000000,2645000000,190577000000,-71167000000,119410000000,284000000,995124000000,-608841000000,386283000000,-138815000000,247468000000,-54569000000,-54569000000,0,0,192899000000,192899000000,0,VCI,quarterly
SHB,2015,2,2756660000000,0.09560477053161119,205567000000,0.10746749857695184,2756660000000,-2095149000000,661511000000,44778000000,-6467000000,38311000000,10884000000,498000000,16155000000,33643000000,-892000000,32751000000,3041000000,763151000000,-348169000000,414982000000,-144237000000,270745000000,-65156000000,-62508000000,-2648000000,-22000000,205589000000,205567000000,0,VCI,quarterly
SHB,2015,1,2668735000000,0.18349605372221736,165708000000,-0.23491962493350566,2668735000000,-2051961000000,616774000000,54888000000,-31882000000,23006000000,35584000000,794000000,165000000,37557000000,-37457000000,100000000,209000000,676632000000,-460070000000,216562000000,-7966000000,208596000000,-42888000000,-42888000000,0,0,165708000000,165708000000,0,VCI,quarterly
SHB,2014,4,2989668576145,0.22035120135088068,226009770214,0.041163626172196405,2989668576145,-2016850168248,972818407897,120014804850,-23354883358,96659921492,18695171087,-3303997782,-743794962,6292262897,-5437316168,854946729,272895040,1085253549501,-521877069515,563376479986,-281663588604,281712891382,-55703121168,-55703121168,0,0,226009770214,226009770214,0,VCI,quarterly
SHB,2014,3,2674836415454,0.29823229903572984,190402429306,-0.19360460520759323,2674836415454,-1939897668135,734938747319,49191461823,-20217540139,28973921684,13831965329,3997857996,-23686862975,40765675738,-6514651366,34251024372,4834894305,797141548030,-430884409562,366257138468,-130716620970,235540517498,-45138088192,-45138088192,0,0,190402429306,190402429306,0,VCI,quarterly
SHB,2014,2,2516108065742,0.09758595374905019,185618991315,0.3389180197122172,2516108065742,-1789838341968,726269723774,189904818093,-12994535503,176910282590,28914311741,-2614707822,-6316227484,28751435313,-1394314698,27357120615,6165592000,956686095414,-294675379011,662010716403,-433762787275,228247929128,-42554937813,-42554937813,0,-74000000,185692991315,185618991315,0,VCI,quarterly
SHB,2014,1,2254958934258,-0.08004572850505534,216589008685,0.32820935934403656,2254958934258,-1905404658032,349554276226,65107181907,-38396464497,26710717410,5009688259,1957707822,50891227484,9727564687,-1381685302,8345879385,65408000,442534904586,-381775620989,60759283597,215933787275,276693070872,-60104062187,-60104062187,0,0,216589008685,216589008685,0,VCI,quarterly
SHB,2013,4,2449842777092,0.0,217074208638,0.0,2449842777092,-1779025989601,670816787491,52604336719,-40534469973,12069866746,-66918123889,711325021,-3820789312,22006699109,-11093781452,10912917657,2578069000,626350052714,-407477964908,218872087806,68517035295,287389123101,-70314914463,-70314914463,0,0,217074208638,217074208638,0,VCI,quarterly
SHB,2013,3,2060368100101,0.0,236115472057,0.0,2060368100101,-1510252137253,550115962848,53454055241,-13431390590,40022664651,38359371493,9999276930,-3069064975,14414133600,-5215418919,9198714681,1684594978,646311520606,-378989968693,267321551913,46934658099,314256210012,-78140737955,-78140737955,0,0,236115472057,236115472057,0,VCI,quarterly
SHB,2013,2,2292401845293,0.0,138633574709,0.0,2292401845293,-1737071395249,555330450044,68113191081,-13681111480,54432079601,33971724308,1568881222,-9893779449,9538581288,-10202570868,-663989580,1682402800,636427768946,-350934155343,285493613603,-102940829718,182552783885,-43915209176,-43915209176,0,-4000000,138637574709,138633574709,340,VCI,quarterly
SHB,2013,1,2451164154707,0.0,163068425291,0.0,2451164154707,-2023541604751,427622549956,44888808919,-11232888520,33655920399,57987275692,-3398881222,501779449,17665418712,-2335429132,15329989580,301597200,532000231054,-455595844657,76404386397,141208829718,217613216115,-54544790824,-54544790824,0,0,163068425291,163068425291,0,VCI,quarterly
