ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
SAB,2020,2,18413850495012,4864813951649,11165486789096,696475952856,1563239928847,123833872564,7745498181277,4000000000,4915522815422,66509360053,2203520608908,500606830571,26159348676289,6417635456293,5573385094445,844250361848,19741713219996,19741713219996,3208666226,10876152357319,0,1298425684877,26159348676289,42027030769,1750219687545,0,1122834056347,6412811860000,6412811860000,459456327274,101091796404,445912909719,0,296388205207,665885700116,35891988834,6506578029,VCI,quarterly
SAB,2020,1,16346544224916,2447101994565,10824541791369,642624842634,2256885560175,175390036173,7840025726497,4000000000,4648518350088,67178409358,2157288522438,562998709798,24186569951413,5699870082414,4816868251712,883001830702,18486699868999,18486699868999,3208666226,9656784992051,0,1255196441729,24186569951413,60253994024,2455702115734,0,1130372829157,6412811860000,6412811860000,494244987274,39101765099,591938871910,0,323898986625,665885700116,37391657734,8006246929,VCI,quarterly
SAB,2019,4,19164602511633,4115884646637,12393226750273,568608377917,1967137719907,119745016899,7797873582412,4000000000,4685440455287,58433154033,2162738822723,574377366136,26962476094045,6886229037681,6087830053039,798398984642,20076247056364,20076247056364,3208666226,11231596467620,0,1270984359590,26962476094045,54679363371,2169540753708,0,1130372829157,6412811860000,6412811860000,494244987274,42587372642,560511063296,0,328604633780,665885700116,38495491774,9110080969,VCI,quarterly
SAB,2019,3,17575957284443,3586992705347,11173432449320,923041316109,1788457837586,104032976081,7201652313830,4000000000,4169003227202,58894133488,2182871518233,571245669324,24777609598273,5796889182989,5492196940763,304692242226,18980720415284,18980720415284,0,10301761124393,0,1100199457086,24777609598273,62089733522,2006391092146,0,1130372829157,6412811860000,6412811860000,0,54604861620,508683238025,0,342939029997,665885700116,36000080906,6680101001,VCI,quarterly
SAB,2019,2,16861849375663,5303724023229,9047239201320,879189455569,1546216191226,85480504319,7199113719277,4000000000,4302090633997,53984479781,2046297736340,616039304075,24060963094940,5468544995053,5174248971351,294296023702,18592418099887,18592418099887,0,9953107853174,0,1061597327266,24060963094940,56510250916,1764593898822,0,1130372829157,6412811860000,6412811860000,0,137523122041,346152711298,0,400839020444,665885700116,36909456417,7589476512,VCI,quarterly
SAB,2019,1,15515537762586,4945933287378,7496406448542,842187287859,2084325783277,146684955530,7524013932117,4000000000,4433109455861,54276158507,2142139753659,754061363876,23039551694703,5777983581418,5451256229343,326727352075,17261568113285,17261530713285,3208666226,8583246344708,37400000,1106647937546,23039551694703,80615956582,2302136081674,0,1130368791063,6412811860000,6412811860000,12183022047,109406414086,421168672990,0,471444880305,681235700116,35683910917,6208015568,VCI,quarterly
SAB,2018,4,14690168205219,4467391585137,7544188420764,765630597003,1813754190894,99203411421,7688357992597,4000000000,4567091079194,54567837235,2154232302794,762228144297,22378526197816,6268953002674,5940649111708,328303890966,16109573195142,16109535795142,0,7471335714541,37400000,1065605733615,22378526197816,74757986951,2034063807573,0,1130147220442,6412811860000,6412811860000,14618022047,110463408413,594242788680,0,551794760319,688510888053,35180710917,5860731012,VCI,quarterly
SAB,2018,3,15206371060048,4228410867018,7866885974564,714438390374,2256607163602,140028664490,7794081647953,4000000000,4687305964873,54859515963,2159778144708,753339984478,23000452708001,5297792226865,5073407854860,224384372005,17702660481136,17702623081136,3208666226,9078703204184,37400000,1055221031194,23000452708001,81825877405,2373379379056,0,1127766483245,6412811860000,6412811860000,17053022047,68507400636,687341280924,0,631267379801,716852914597,32939157663,3619177758,VCI,quarterly
SAB,2018,2,14135939540130,4184307406199,6955374974564,715878089163,2145516287784,134862782420,7890438722148,4000000000,4747557499069,55151194692,2084467734679,808041863727,22026378262278,5232425738270,5015641790233,216783948037,16793952524008,16793915124008,3208666226,8140891583470,37400000,1085059903951,22026378262278,72402751825,2262382715579,0,1127748197086,6412811860000,6412811860000,11644361692,90536530685,547419329275,0,688324207539,736652914597,47636960833,18612165484,VCI,quarterly
SAB,2018,1,12576322862467,4873459152462,4606383203491,731643279702,2209059479779,155777747033,8188395961586,4000000000,4881910991286,55442873420,2160278493052,908983999653,20764718824053,5213473559860,5005836090284,207637469576,15551245264193,15551207864193,0,6934486717448,37400000,1060983857643,20764718824053,86612848083,2326030667357,0,1119073579586,6412811860000,6412811860000,1531695304,134933387095,807830367225,0,785810473764,736652914597,49357010411,20332215063,VCI,quarterly
