ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
STB,2016,4,333294844000000,5872977000000,8954313000000,2497737000000,89891000000,105624000000,-15733000000,15421000000,196422586000000,198859667000000,-2437081000000,65034854000000,27589161000000,39292300000000,-1846607000000,297693000000,0,0,441922000000,-144229000000,7949370000000,4503813000000,0,3445557000000,0,45408254000000,333294844000000,310323126000000,3774694000000,8411437000000,291365595000000,0,1404154000000,600000000,5366646000000,22971718000000,18166632000000,2428951000000,250600000000,2125535000000,0,18852157000000,653000000,0,VCI,yearly
STB,2016,3,320056340000000,7943920000000,8252380000000,2336419000000,93945000000,119725000000,-25780000000,0,192649887000000,195105252000000,-2455365000000,56055475000000,27707512000000,30161457000000,-1813494000000,296917000000,0,0,441922000000,-145005000000,8039185000000,4510123000000,0,3529062000000,0,44388212000000,320056340000000,297385304000000,0,5565798000000,285405282000000,17489000000,1379286000000,600000000,5016849000000,22671036000000,18166632000000,2433845000000,-125104000000,2195663000000,0,18852157000000,653000000,0,VCI,yearly
STB,2016,2,311579110000000,7315912000000,8052524000000,3414868000000,1296034000000,1324841000000,-28807000000,0,196832383000000,199145568000000,-2313185000000,43371472000000,26692405000000,18244410000000,-1565343000000,534600000000,0,0,880936000000,-346336000000,8040676000000,4501544000000,11000000,3539121000000,0,42720641000000,311579110000000,289625627000000,0,3431404000000,279969230000000,3734000000,1383785000000,600000000,4836874000000,21953483000000,18166632000000,2433740000000,96743000000,1256368000000,0,18852157000000,653000000,0,VCI,yearly
STB,2016,1,306515443000000,7296215000000,7612149000000,9439986000000,1293745000000,1324841000000,-31096000000,0,188365006000000,190701381000000,-2336375000000,40170831000000,25666005000000,16038782000000,-1533956000000,309473000000,0,0,442080000000,-132607000000,7900551000000,4478617000000,39000000,3421895000000,0,44127487000000,306515443000000,283830202000000,0,3239213000000,274328421000000,67443000000,1639935000000,600000000,4554590000000,22685241000000,18166632000000,2432608000000,185269000000,1900732000000,0,18852157000000,653000000,0,VCI,yearly
STB,2015,4,292542264916463,6586479230421,7497266831712,2207868521965,95333263400,124840582884,-29507319484,0,183629878497542,185916812118571,-2286933621029,39713486306351,25109204040331,16145223223670,-1540940957650,326502039269,0,0,459189345232,-132687305963,7967720333434,4530437937354,69459105,3437212936975,0,44517729892369,292542264916463,269963967743004,0,2951160705694,260997659451851,22853192467,1793233567142,600036333,4198460789517,22578297173459,18166632361369,2419108903708,228161466986,1764394441396,0,18852157160000,653404200,0,VCI,yearly
STB,2015,3,213077178209036,6191207303269,8620530002798,4665312807094,5213318353142,5267126429157,-53808076015,0,144121815198528,145773751133907,-1651935935379,28301553115418,21375457669511,8019110342811,-1093014896904,331575137489,53728946292,0,400122767882,-122276576685,6231595310091,3181038006225,99227286,3050458076580,0,9400270981207,213077178209036,193574394154615,0,3699011996623,183924106883454,24636380660,1892356948852,600036333,4033681908693,19502784054421,12590878190267,2283380909803,163393644030,4465131310321,0,12425115900000,153051697,0,VCI,yearly
STB,2015,2,210777591000000,6090318000000,6129828000000,4869868000000,12194817000000,12247645000000,-52828000000,20368000000,139120781000000,140707233000000,-1586452000000,26944398000000,20486873000000,7236459000000,-778934000000,277846000000,0,0,400123000000,-122277000000,6007537000000,3067841000000,130000000,2939566000000,0,9121830000000,210777591000000,191818489000000,0,6119609000000,179941016000000,0,2002622000000,600000000,3754642000000,18959098000000,12590879000000,2281152000000,109052000000,3978015000000,0,12425116000000,153000000,4000000,VCI,yearly
STB,2015,1,198741764831058,6063048519745,4165541042359,4339101809500,8839606825365,8892263397456,-52656572091,0,132528667530052,133987333888402,-1458666358350,26781899516232,21354910183214,5929094600805,-502105267787,263886451645,0,0,400122767882,-136236316237,5657450775525,2829926709123,158763648,2827365302754,0,10102562360635,198741764831058,180032630846646,0,4283226684701,171100198402186,29266169246,1072480970398,599949933,3546858670182,18709129733107,12590878190267,1949840531106,122163148151,4046247863583,4251305,12425115900000,153051697,0,VCI,yearly
STB,2014,4,189802626000000,4815942000000,4289757000000,3606812000000,7683340000000,7732427000000,-49087000000,12152000000,126646091000000,128015009000000,-1368918000000,25925440000000,20250805000000,5935128000000,-260493000000,264513000000,0,0,400749000000,-136236000000,5198974000000,2831507000000,188000000,2367279000000,0,11359605000000,189802626000000,171733735000000,0,4410606000000,163057454000000,0,1115813000000,600000000,3149262000000,18068880000000,12590879000000,1938964000000,104277000000,3434760000000,11000000,12425116000000,153000000,0,VCI,yearly
STB,2014,3,186633509000000,5322593000000,3852944000000,5730938000000,12345055000000,12451122000000,-106067000000,9874000000,122952226000000,124474970000000,-1522744000000,20547036000000,18648022000000,2183169000000,-284155000000,253800000000,0,0,402250000000,-148450000000,5180310000000,2804603000000,218000000,2375489000000,0,10438733000000,186633509000000,168928478000000,0,5946475000000,156041021000000,0,3497056000000,600000000,3443326000000,17705020000000,12590879000000,1930744000000,74630000000,3108767000000,11000000,12425116000000,153000000,0,VCI,yearly
STB,2014,2,178938804000000,5652494000000,3671600000000,7088143000000,5739840000000,5950147000000,-210307000000,0,119726119000000,121192835000000,-1466716000000,22872148000000,21278848000000,1830319000000,-237019000000,300625000000,0,0,462929000000,-162304000000,5189045000000,2805016000000,599000000,2383430000000,0,8698790000000,178938804000000,161832975000000,0,5730391000000,148276098000000,4716000000,4489840000000,600000000,3331330000000,17105824000000,12590879000000,1930741000000,83051000000,2501153000000,0,12425116000000,153000000,5000000,VCI,yearly
STB,2014,1,168982444000000,5564502000000,3337649000000,5714697000000,6227171000000,6352405000000,-125234000000,5448000000,113214793000000,114548690000000,-1333897000000,20734215000000,19205328000000,1764142000000,-235255000000,309895000000,0,0,462929000000,-153034000000,5244983000000,2863386000000,670000000,2380927000000,0,8629091000000,168982444000000,152431008000000,0,3754889000000,141187369000000,0,4420848000000,650000000,3067252000000,16551425000000,12590879000000,2004664000000,80241000000,1875641000000,11000000,12425116000000,153000000,0,VCI,yearly
STB,2013,4,161377619000000,4228780000000,3300559000000,7469880000000,2651437000000,2877307000000,-225870000000,43995000000,109214226000000,110565796000000,-1351570000000,19893888000000,19434485000000,628689000000,-169286000000,318860000000,0,0,462929000000,-144069000000,5306522000000,2907072000000,742000000,2398708000000,0,8949472000000,161377619000000,144313901000000,0,5007208000000,131644622000000,0,4405174000000,501147000000,2755750000000,17063709000000,12590878000000,1621306000000,96865000000,2754660000000,9000000,12425116000000,152000000,0,VCI,yearly
STB,2013,3,157811313000000,4958877000000,4240461000000,8528421000000,904226000000,1085066000000,-180840000000,0,107705505000000,109155596000000,-1450091000000,17635370000000,18108112000000,0,-472742000000,208338000000,0,0,477202000000,-268864000000,5296309000000,2902295000000,815000000,2393199000000,0,8333806000000,157811313000000,141380090000000,0,4847081000000,128137628000000,5948000000,4458460000000,451386000000,3479587000000,16431213000000,12590879000000,1616844000000,33519000000,2189971000000,10000000,12425116000000,153000000,0,VCI,yearly
STB,2013,2,160358622000000,8331686000000,4403717000000,7056144000000,869779000000,1006231000000,-136452000000,0,107628519000000,109287910000000,-1659391000000,18650124000000,18621269000000,500000000000,-471145000000,208338000000,0,0,477202000000,-268864000000,5170077000000,2755824000000,888000000,2413365000000,0,8040238000000,160358622000000,146112494000000,0,5009064000000,124610829000000,4086000000,4495949000000,2151823000000,9840743000000,14246117000000,10905440000000,1622652000000,36531000000,1681494000000,0,10739677000000,153000000,11000000,VCI,yearly
STB,2013,1,158548008000000,9170100000000,3526672000000,8706628000000,4697773000000,4835221000000,-137448000000,368761000000,96858880000000,98475930000000,-1617050000000,20682325000000,20528020000000,632560000000,-478255000000,240581000000,0,31744000000,477202000000,-268365000000,5305253000000,2867840000000,959000000,2436454000000,0,8991035000000,158548008000000,144204626000000,0,3512444000000,117942313000000,0,4429268000000,4468904000000,13851697000000,14343372000000,10905439000000,1631585000000,72953000000,1733395000000,10000000,10739677000000,152000000,0,VCI,yearly
