ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
HDB,2018,4,216107406000000,2096395000000,5385604000000,32425544000000,2596626000000,2603376000000,-6750000000,208294000000,121791723000000,123131648000000,-1339925000000,42694913000000,25754996000000,17888621000000,-948704000000,164931000000,0,185117000000,-20186000000,1615456000000,569227000000,1046229000000,51955000000,7075965000000,216107406000000,199279266000000,7911883000000,40689261000000,128060094000000,0,3045666000000,14927000000000,4645362000000,16828140000000,11852342000000,775800000000,0,3007022000000,0,9810000000000,1192976000000,VCI,quarterly
HDB,2018,3,199380170000000,1828908000000,2418896000000,23317555000000,2337487000000,2342829000000,-5342000000,11337000000,119572248000000,120892934000000,-1320686000000,40679792000000,31867922000000,9655484000000,-843614000000,375407000000,0,487357000000,-111950000000,1511330000000,506913000000,1004417000000,51985000000,7274905000000,199380170000000,183425608000000,2151945000000,29656727000000,129966300000000,0,3063519000000,14750000000000,3837117000000,15954562000000,11852342000000,725546000000,16624000000,2279482000000,0,9810000000000,1080568000000,VCI,quarterly
HDB,2018,2,191293246000000,2151586000000,3309444000000,23538842000000,1889877000000,1898619000000,-8742000000,13401000000,118965247000000,120338093000000,-1372846000000,32818835000000,26700583000000,6966054000000,-847802000000,375407000000,0,487357000000,-111950000000,1508844000000,511185000000,997659000000,52016000000,6665872000000,191293246000000,175992415000000,131179000000,26372072000000,126776964000000,0,3008715000000,14410637000000,5292848000000,15300831000000,11852342000000,726426000000,17644000000,1712346000000,0,9810000000000,992073000000,VCI,quarterly
HDB,2018,1,190374307000000,1649501000000,2269185000000,19681403000000,2850111000000,2853111000000,-3000000000,28122000000,114673489000000,115886169000000,-1212680000000,39386619000000,31737506000000,8851858000000,-1202745000000,375507000000,0,487357000000,-111850000000,1522636000000,525242000000,997394000000,52048000000,7881811000000,190374307000000,174595050000000,127488000000,41010855000000,117302099000000,0,2947308000000,9446000000000,3761300000000,15779257000000,11852342000000,452344000000,37605000000,2526763000000,0,9810000000000,910203000000,VCI,quarterly
HDB,2017,4,189334259000000,1511629000000,1922256000000,21861168000000,4690398000000,4693398000000,-3000000000,0,103336328000000,104497027000000,-1160699000000,45802141000000,37417732000000,9614647000000,-1230238000000,378237000000,0,490087000000,-111850000000,1526618000000,526448000000,1000170000000,45769000000,8255840000000,189334259000000,174575168000000,156253000000,37217378000000,120537469000000,70098000000,2927741000000,9793000000000,3873229000000,14759091000000,11852342000000,453708000000,0,1769492000000,0,9810000000000,683549000000,VCI,quarterly
HDB,2017,3,174594270000000,1272228000000,2330443000000,20772785000000,642333000000,645333000000,-3000000000,98303000000,95489766000000,96612423000000,-1122657000000,42682806000000,35127944000000,8718121000000,-1163259000000,370187000000,0,483418000000,-113231000000,1305255000000,482210000000,823045000000,58412000000,9567877000000,174594270000000,163307433000000,152470000000,27568310000000,118116320000000,0,2928041000000,10582000000000,3960292000000,10671434000000,8104686000000,585756000000,-36955000000,2017947000000,615403000000,8100000000000,0,VCI,quarterly
HDB,2017,2,169528338000000,1361279000000,5583069000000,22723038000000,397000000000,400000000000,-3000000000,0,95875982000000,96945442000000,-1069460000000,32459476000000,25016638000000,8508655000000,-1065817000000,372427000000,0,485658000000,-113231000000,1315165000000,487161000000,828004000000,58444000000,9376969000000,169528338000000,158879493000000,153157000000,25107077000000,115710752000000,88896000000,2907267000000,11353000000000,3559344000000,10648845000000,8104686000000,463362000000,-4010000000,1364964000000,0,8100000000000,719843000000,VCI,quarterly
HDB,2017,1,163349249000000,1409281000000,1328926000000,24105563000000,705369000000,708369000000,-3000000000,51505000000,87142559000000,88116321000000,-973762000000,37076750000000,27763167000000,10366859000000,-1053276000000,374118000000,0,485657000000,-111539000000,1336057000000,504978000000,831079000000,89585000000,9724047000000,163349249000000,153101799000000,2050776000000,20074349000000,112876523000000,0,2868026000000,11754000000000,3478125000000,9579382000000,8104686000000,462622000000,-2131000000,1014205000000,668068000000,8100000000000,0,VCI,quarterly
HDB,2016,4,150294272000000,1636010000000,2389302000000,18580047000000,396937000000,400000000000,-3063000000,0,81303975000000,82224372000000,-920397000000,34261091000000,24267353000000,11020813000000,-1027075000000,384406000000,0,495945000000,-111539000000,1351960000000,524984000000,826976000000,88381000000,9896674000000,150294272000000,140351629000000,177635000000,19684665000000,103299771000000,9326000000,2843432000000,11027014000000,3309786000000,9317013000000,8104686000000,465280000000,0,747047000000,625630000000,8100000000000,0,VCI,quarterly
HDB,2016,3,138872460000000,1376202000000,2244384000000,16047689000000,452652000000,456046000000,-3394000000,1545000000,73448682000000,74500897000000,-1052215000000,33197003000000,28600670000000,5410592000000,-814259000000,427646000000,0,539559000000,-111913000000,767947000000,479131000000,288816000000,73662000000,10835048000000,138872460000000,129217316000000,192596000000,14160842000000,97815709000000,0,2817410000000,11086000000000,3144759000000,9077560000000,8104686000000,439283000000,-14042000000,547633000000,577584000000,8100000000000,0,VCI,quarterly
HDB,2016,2,128983966000000,1569671000000,1532113000000,14718584000000,916034000000,922956000000,-6922000000,103963000000,70815074000000,71779198000000,-964124000000,27930032000000,24186711000000,4455761000000,-712440000000,435119000000,0,547032000000,-111913000000,752724000000,486269000000,266455000000,62413000000,10142750000000,128983966000000,119630995000000,221763000000,11741011000000,93167357000000,0,2811847000000,8995000000000,2694017000000,9352971000000,8104686000000,439283000000,4528000000,276315000000,0,8100000000000,528159000000,VCI,quarterly
HDB,2016,1,118950018000000,1392843000000,946400000000,15502467000000,985837000000,995176000000,-9339000000,697000000,65555709000000,66342898000000,-787189000000,22353989000000,17926902000000,4966437000000,-539350000000,440178000000,0,551252000000,-111074000000,779806000000,507620000000,272186000000,62487000000,10929605000000,118950018000000,108851444000000,261470000000,8095321000000,86085606000000,0,2818337000000,9097000000000,2493710000000,9613548000000,8104686000000,378066000000,-12711000000,1143507000000,485026000000,8100000000000,0,VCI,quarterly
HDB,2015,4,106485935000000,1472407000000,2742385000000,11994220000000,916034000000,922956000000,-6922000000,39044000000,55853240000000,56558835000000,-705595000000,21197715000000,16705365000000,5011604000000,-519254000000,419118000000,0,530192000000,-111074000000,805214000000,518828000000,286386000000,64838000000,10976231000000,106485935000000,96644256000000,2488321000000,6594931000000,74542719000000,2822563000000,0,7847000000000,2348722000000,9392415000000,8104686000000,378601000000,0,909128000000,0,8100000000000,449264000000,VCI,quarterly
HDB,2015,1,88920767476917,791463790192,859783130204,8567815019372,1621628150750,1629930462500,-8302311750,29038402991,40492051499583,41021470465810,-529418966227,24044944173186,20752270874499,3507503170766,-214829872079,220758224309,0,241852189881,-21093965572,531986806444,298197528359,233789278085,0,11761298279886,88920767476917,79589236076689,183161265747,12859399291930,60994935873854,0,38402789052,3831000000000,1682336856106,9006737280942,8104685517995,255813069047,1450127714,644788566186,324794119286,8100000000000,0,VCI,quarterly
HDB,2014,1,76279586024902,608530482303,595519953050,6444099636752,918079088105,919000000000,-920911895,9510398880,31464558193682,32150485492405,-685927298723,20922864803913,20054388993839,1054975987426,-186500177352,89966857830,0,131791310665,-41824452835,587940374636,368612630718,219327743918,0,14638516235751,76279586024902,67652893714917,186029849290,7646373557669,55477283611803,0,59105428789,2505200000000,1778901267366,8626692309985,8104685517995,209866848560,5505932252,306634011178,0,8100000000000,0,VCI,quarterly
HDB,2013,4,86226641414683,632025391095,1595174271111,11340653348174,667545285887,668466197782,-920911895,1847975080,43332980653728,44030492200344,-697511546616,13456295781674,12033115421317,1609680537709,-186500177352,95066857830,0,136891310665,-41824452835,590246279022,369550322297,220695956725,0,14514805571082,86226641414683,77627093490822,128173419004,11289316884831,62383934049007,0,116109678789,2503000000000,1206559459191,8599547923861,8104685517995,211531048560,0,283331357306,0,8100000000000,0,VCI,quarterly
HDB,2013,3,60850696893821,392332453562,1231251373008,8859664866092,400000000000,400000000000,0,99082800,25164260326276,25458803921132,-294543594856,13056221399867,11442032585086,1740597125934,-126408311153,55616952338,0,59491310665,-3874358327,284410116939,220370093910,64040023029,0,11406840322939,60850696893821,55614311389289,125044678718,10147183637952,43271668408879,0,0,1079060500000,991354163740,5236385504532,5004043016800,101389991974,-8817574156,139770069914,0,5000000000000,0,VCI,quarterly
HDB,2013,2,58615599137771,499534681237,1364044115113,5308971644545,0,0,0,0,22352120050234,22630885062138,-278765011904,13546034282936,11928479355702,1743963238387,-126408311153,57616952338,0,61491310665,-3874358327,281360598704,222171662130,59188936574,0,15205916812664,58615599137771,53413060033450,130718735504,7494822386171,42827453617680,0,0,1953400000000,1006665294095,5202539104321,5004043016800,105024584888,-40061150726,133532653359,0,5000000000000,0,VCI,quarterly
HDB,2013,1,60734959982256,495784419493,856443621626,5947454970860,207405555556,207405555556,0,4135825000,22638355501739,22879016627525,-240661125786,14935619483851,13376027051656,1681755731272,-122163299077,57616952338,0,61491310665,-3874358327,307506492953,245564529497,61941963456,0,15284637158840,60734959982256,55287923379509,152331937051,6382633462181,44787994041633,0,0,2800481254861,1164482683783,5447036602747,5004043016800,52101351586,-1672677879,392564912240,0,5000000000000,0,VCI,quarterly
