ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MWG,2019,4,0.20586558628914928,25715675898405,859569325382,0.24210530442868203,181644877411,-156338194060,25715675898405,-304686506894,25410989391511,-20045942182105,5365047209406,-156475108555,-1911693158,-3694582632786,-519659543977,1174063108341,13230090677,-7723742267,5506348410,1179569456751,-342488217572,22940541242,860021780421,452455039,859569325382,VCI,yearly
MWG,2019,3,0.20148923871234356,25485647042510,855080927073,0.3208629914620578,178021267344,-144687353950,25485647042510,-343561102170,25142085940340,-20201528951239,4940556989101,-146141603987,-1068783689,-3284926182944,-550013718611,1136427967214,7733815701,-7059467030,674348671,1137102315885,-295669869167,14099895007,855532341725,451414652,855080927073,VCI,yearly
MWG,2019,2,0.21901956851081716,26974108534093,1079178522876,0.4743512770971985,161373403339,-133756189910,26974108534093,-370349559186,26603758974907,-21855341767100,4748417207807,-133783120237,-457358418,-2991594813512,-391155206736,1392800112243,7754060839,-4936895311,2817165528,1395617277771,-314079591514,-1972141457,1079565544800,387021924,1079178522876,VCI,yearly
MWG,2019,1,0.09691434213014269,25309615197439,1040440771716,0.2886881525988805,110138306257,-133354979214,25309615197439,-292205527474,25017409669965,-20583631772568,4433777897397,-133355012065,-35448106,-2466179088970,-612954410734,1331392243779,12839074324,-3073163814,9765910510,1341158154289,-296115403581,-3922330627,1041120420081,679648365,1040440771716,VCI,yearly
MWG,2018,4,0.12068585793450716,21325491158215,692026128797,0.2099669045460969,107457997390,-110783202536,21325491158215,-287240424065,21038250734150,-17285079141932,3753171592218,-110938695420,1177744744,-2449962176671,-384883295221,916023167040,9910301754,-6995380779,2914920975,918938088015,-231697075032,5863083911,693104096894,1077968097,692026128797,VCI,yearly
MWG,2018,3,0.2673407811631416,21211714779754,647365345687,0.14626509335765592,86456996199,-107492002949,21211714779754,-304132083712,20907582696042,-17205031495334,3702551200708,-104974336364,-2544230352,-2436749840647,-390396333632,854343455912,8770935444,-6961910098,1809025346,856152481258,-214306341037,5788810608,647634950829,269605142,647365345687,VCI,yearly
MWG,2018,2,0.38194795991889535,22127707569982,731968384767,0.43195557163685877,71909377837,-105346054241,22127707569982,-320773748245,21806933821737,-17945292260387,3861641561350,-105700047545,-734501277,-2464220418793,-397865044350,965030927222,6487958421,-3275913625,3212044796,968242972018,-246529243628,10392602625,732106331015,137946248,731968384767,VCI,yearly
MWG,2018,1,0.44929963992871075,23073465470685,807364271657,0.4473717946311336,76259503803,-112795317948,23073465470685,-309945720115,22763519750570,-18788756341782,3974763408788,-114960070907,0,-2308808752645,-588469226877,1038784862162,8064141763,-3863976297,4200165466,1042985027628,-241304078749,5782732517,807463681396,99409739,807364271657,VCI,yearly
MWG,2017,4,0.32587544741293195,19028964278642,571938063923,0.6083090083487651,97381438950,-60704492385,19028964278642,-310263902790,18718700375852,-15674487404309,3044212971543,-65372146469,0,-1978929491665,-369266030797,728026741562,7571551573,-1555677922,6015873651,734042615213,-186778805236,24993468343,572257278320,319214397,571938063923,VCI,yearly
MWG,2017,3,0.45722846232924325,16737183159439,564760585870,0.45817341091576846,52990268221,-45558103727,16737183159439,-356361588599,16380821570840,-13557089585624,2823731985216,-46022363187,0,-1781348852977,-333056556102,716294481171,4006499580,-1050277401,2956222179,719250703350,-156438681238,2258297599,565070319711,309733841,564760585870,VCI,yearly
MWG,2017,2,0.5871521197683514,16011968765655,511166965837,0.2268302450539026,52899468604,-55706011073,16011968765655,-357723328110,15654245437545,-13032373764086,2621871673459,-56013720500,0,-1671086020890,-300054602242,647616798431,3117505445,-324141745,2793363700,650410162131,-145064422904,6099465590,511445204817,278238980,511166965837,VCI,yearly
MWG,2017,1,0.6435582691743073,15920424482973,557814014790,0.3351515734807629,47238632352,-65386590548,15920424482973,-334387675032,15586036807941,-12934074171216,2651962636725,-65471277078,0,-1585643955972,-344580281321,703505754706,2989086802,-886289556,2102797246,705608551952,-151461696075,3977460624,558124316501,310301711,557814014790,VCI,yearly
MWG,2016,4,0.8426352252302381,14351999892427,355614537352,0.07160488789841271,64311236062,-39160064874,14351999892427,-514572576302,13837427316125,-11641490003545,2195937312580,-39160759705,0,-1380710800673,-388001814720,452375173544,5663589540,-1050490184,4613099356,456988272900,-115085304429,13910755668,355813724139,199186787,355614537352,VCI,yearly
MWG,2016,3,0.7191879104943132,11485627403054,387306874232,0.34809593796448707,23665294725,-25006812972,11485627403054,-359319895289,11126307507765,-9292028024223,1834279483542,-25233169135,0,-1093576513674,-220956950102,518178145356,8821649793,-28317373100,-19495723307,498682422049,-113862785093,2702956350,387522593306,215719074,387306874232,VCI,yearly
MWG,2016,2,0.8703580585758162,10088490300471,416656638437,0.8837754914874588,18878070091,-25560229081,10088490300471,-65906863247,10022583437224,-8427887914933,1594695522291,-25827120384,0,-906270169711,-164004691813,517471610474,10201710985,-2360591372,7841119613,525312730087,-110002246184,1575107126,416885591029,228952592,416656638437,VCI,yearly
MWG,2016,1,0.7533818466055964,9686559206064,417790778118,0.804241433125789,28473099854,-29818588379,9686559206064,-59544794190,9627014411874,-8037820417725,1589193994149,-29864812122,0,-907142376168,-161813484489,518846421224,6443039765,-362371102,6080668663,524927089887,-109232114840,2330137316,418025112363,234334245,417790778118,VCI,yearly
MWG,2015,4,0.6027002256338918,7788844854322,331852291239,0.7988731911314458,24878154991,-11821907686,7788844854322,-42584433058,7746260421264,-6461720215255,1284540206009,-11751245771,0,-788748760766,-86661198211,422257156252,5886511675,-357588373,5528923302,427786079554,-94666156710,-1083334315,332036588529,184297290,331852291239,VCI,yearly
MWG,2015,3,0.6847193982216151,6680844678434,287299192383,0.6395419014080661,24450598084,-6137689256,6680844678434,-34123771059,6646720907375,-5622848300006,1023872607369,-6629472417,0,-614546804647,-66202613082,360944315307,10801327736,-711308803,10090018933,371034334240,-88984504389,5958015356,288007845207,708652824,287299192383,VCI,yearly
MWG,2015,2,0.5388003975020499,5393881804724,221181685567,0.555603964969826,15061084415,-8730737161,5393881804724,-30610602033,5363271202691,-4550369113468,812902089223,-10027792414,0,-490950712310,-45559955662,281424713252,5843554272,-431866136,5411688136,286836401388,-63679812586,-520473871,222636114931,1454429364,221181685567,VCI,yearly
MWG,2015,1,0.5757192584230202,5524500681250,231560350210,0.3931544294038612,16595982923,-12203517911,5524500681250,-28020133336,5496480547914,-4695364556641,801115991273,-12257583154,0,-456848442274,-50891539580,297714409188,2661356439,-248793115,2412563324,300126972512,-65280486637,-1755805099,233090680776,1530330566,231560350210,VCI,yearly
MWG,2014,4,0.0,4859826391577,184477868076,0.0,26334402728,-5444208588,4859826391577,-23110729017,4836715662560,-4146012520233,690703142327,-5444689520,0,-417052118827,-57968898695,236571838013,4279369218,-205421900,4073947318,240645785331,-57195255503,2209432610,185659962438,1182094362,184477868076,VCI,yearly
MWG,2014,3,0.0,3965553364843,175231381483,0.0,20994310621,-5084574236,3965553364843,-20430857516,3945122507327,-3311179822494,633942684833,-5095365880,0,-356161732856,-71619432832,222060463886,5446735439,-219355138,5227380301,227287844187,-50409158218,-508886559,176369799410,1138417927,175231381483,VCI,yearly
MWG,2014,2,0.0,3505251112152,142183801628,0.0,13637062849,-5814699371,3505251112152,-18188911829,3487062200323,-2960189834294,526872366029,-5832153856,0,-291020278586,-60972565041,182684431395,3394224549,-1210230375,2183994174,184868425569,-49872262575,8055967719,143052130713,868329085,142183801628,VCI,yearly
MWG,2014,1,0.0,3506018379682,166212980645,0.0,10369538004,-4917933566,3506018379682,-18192893216,3487825486466,-2943224280344,544601206122,-4919204740,0,-285066940101,-49982370870,215002228415,1997710385,-1604550793,393159592,215395388007,-46322556359,-410507605,168662324043,2449343398,166212980645,VCI,yearly
