ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
TPB,2019,3,153929979000000,1567186000000,6087591000000,21379254000000,0,0,0,86725000000,91827514000000,92954005000000,-1126491000000,19882626000000,19942100000000,44700000000,-104174000000,0,0,0,411839000000,272291000000,139548000000,11784336000000,153929979000000,142020768000000,857282000000,39159546000000,85596232000000,0,694606000000,13040539000000,2672563000000,11909211000000,7882729000000,576259000000,0,3450223000000,8565892000000,0,VCI,yearly
TPB,2019,2,145716202000000,1936607000000,5394561000000,17087887000000,0,0,0,56402000000,87833651000000,88957315000000,-1123664000000,24127676000000,24127225000000,471390000000,-470939000000,0,0,0,332138000000,238804000000,93334000000,7932336000000,145716202000000,134434246000000,1604609000000,35515937000000,80873528000000,0,480004000000,13092559000000,2867609000000,11281956000000,7882729000000,576259000000,0,2822968000000,8565892000000,0,VCI,yearly
TPB,2019,1,139944260000000,1315204000000,4912162000000,19121044000000,0,0,0,20563000000,83680118000000,84723658000000,-1043540000000,20972837000000,20738177000000,801215000000,-566555000000,0,0,0,358191000000,256006000000,102185000000,8376673000000,139944260000000,128601773000000,924507000000,36198015000000,77912920000000,0,254008000000,10953867000000,2358456000000,11342487000000,8510485000000,305473000000,38576000000,2487953000000,8565892000000,0,VCI,yearly
TPB,2018,4,136179403000000,1332025000000,4692735000000,16340793000000,0,0,0,0,76295237000000,77185148000000,-889911000000,24899523000000,24641343000000,801215000000,-543035000000,0,0,0,300052000000,202863000000,97189000000,11053586000000,136179403000000,125537277000000,4752198000000,33491419000000,76138062000000,108589000000,247228000000,8715178000000,2084603000000,10642126000000,8510485000000,305473000000,0,1826168000000,8565892000000,0,VCI,yearly
TPB,2018,3,126912061000000,1120451000000,1372914000000,17486927000000,0,0,0,0,72899471000000,73805929000000,-906458000000,23798731000000,23472036000000,801215000000,-474520000000,0,0,0,270570000000,176628000000,93942000000,8864560000000,126912061000000,116710034000000,1453045000000,35228351000000,70158755000000,91387000000,1563512000000,6132189000000,2082795000000,10202027000000,7977012000000,305473000000,74537000000,1845005000000,6718421000000,0,VCI,yearly
TPB,2018,2,126532888000000,1001188000000,5777653000000,15736986000000,0,0,0,3789000000,72915523000000,73770428000000,-854905000000,22992269000000,22655763000000,801895000000,-465389000000,0,0,0,280182000000,189617000000,90565000000,7285388000000,126532888000000,116876548000000,1031108000000,30344692000000,75170153000000,0,1845663000000,6806848000000,1678084000000,9656340000000,7977012000000,305473000000,0,1373855000000,6718421000000,0,VCI,yearly
TPB,2018,1,121214303000000,1319470000000,1091716000000,14556358000000,0,0,0,0,69052568000000,69794568000000,-742000000000,28881747000000,28369088000000,992693000000,-480034000000,0,0,0,242817000000,164136000000,78681000000,5515157000000,121214303000000,113936157000000,1059714000000,31264474000000,73126601000000,29968000000,1899947000000,4516123000000,2039330000000,7278146000000,5552176000000,160932000000,67687000000,1497351000000,5842105000000,0,VCI,yearly
TPB,2017,4,124040176000000,1176978000000,2364130000000,22488409000000,0,0,0,0,62747997000000,63422643000000,-674646000000,25465003000000,24938137000000,994187000000,-467321000000,0,0,0,250773000000,174893000000,75880000000,8966832000000,124040176000000,117363459000000,1082224000000,38251634000000,70298586000000,84351000000,2628210000000,3481154000000,1537300000000,6676717000000,5552176000000,160932000000,0,963609000000,5842105000000,0,VCI,yearly
TPB,2017,3,114467609000000,1031154000000,755056000000,23785324000000,0,0,0,0,56128928000000,56708156000000,-579228000000,28050940000000,27632547000000,997424000000,-579031000000,0,0,0,182576000000,107895000000,74681000000,3925954000000,114467609000000,108039004000000,1121230000000,43696380000000,58903556000000,91497000000,2202060000000,294256000000,1730025000000,6428605000000,5545896000000,160932000000,10101000000,711676000000,5842105000000,0,VCI,yearly
TPB,2017,2,115677157000000,816315000000,1079606000000,27883028000000,0,0,0,0,52559741000000,53074181000000,-514440000000,29406013000000,28837119000000,1001539000000,-432645000000,0,0,0,196354000000,115357000000,80997000000,3102911000000,115677157000000,109609627000000,1152817000000,48237719000000,57071517000000,100574000000,1637463000000,1200000000,1408337000000,6067530000000,5520529000000,160932000000,0,386069000000,5842105000000,0,VCI,yearly
TPB,2017,1,104791710000000,784449000000,1162538000000,26405957000000,0,0,0,0,42816386000000,43254402000000,-438016000000,29358863000000,28692981000000,1019638000000,-353756000000,0,0,0,174453000000,116457000000,57996000000,3434181000000,104791710000000,98965468000000,1183479000000,40583318000000,54761405000000,106854000000,846488000000,0,1483924000000,5826242000000,5040123000000,76150000000,-70537000000,780506000000,5842105000000,0,VCI,yearly
TPB,2016,4,106311115000000,815148000000,1362317000000,23784661000000,0,0,0,29149000000,46233626000000,46642977000000,-409351000000,29882518000000,29175883000000,1019638000000,-313003000000,0,0,0,144374000000,100386000000,43988000000,3381792000000,106311115000000,100629629000000,1500282000000,41245247000000,55082028000000,0,1211925000000,0,1590147000000,5681486000000,5040125000000,76150000000,0,565211000000,5842105000000,0,VCI,yearly
TPB,2016,3,89507678000000,684695000000,912888000000,18577694000000,0,0,0,8139000000,37434412000000,37793062000000,-358650000000,24129237000000,23425360000000,989369000000,-285492000000,0,0,0,137056000000,92722000000,44334000000,7623557000000,89507678000000,83945428000000,1133567000000,35759607000000,45799011000000,0,199776000000,0,1053467000000,5562250000000,4930302000000,76533000000,23636000000,531779000000,5842105000000,0,VCI,yearly
TPB,2016,1,73598953000000,554370000000,822930000000,14272012000000,0,0,0,0,33773550000000,34082006000000,-308456000000,21896605000000,21525480000000,604132000000,-233007000000,0,0,0,129913000000,97824000000,32089000000,2149573000000,73598953000000,68718005000000,667578000000,24305110000000,42865473000000,92328000000,179563000000,0,607953000000,4880948000000,4527197000000,42133000000,-8252000000,319870000000,5550000000000,0,VCI,yearly
TPB,2015,4,76220834000000,621500000000,1227426000000,20290118000000,0,0,0,11150000000,27977664000000,28240322000000,-262658000000,21578948000000,21165710000000,604132000000,-190894000000,0,0,0,134016000000,99684000000,34332000000,4380012000000,76220834000000,71422169000000,2017980000000,29395609000000,39505447000000,0,0,0,503133000000,4798665000000,4527197000000,42133000000,0,229335000000,5550000000000,0,VCI,yearly
TPB,2015,2,51657726645401,528537456767,120558435458,9470845017189,0,0,0,0,22853055593369,23082080986526,-229025393157,17039164826476,16776794431805,451159858482,-188789463811,9359649712,10000000000,-640350288,89665751620,59582116689,30083634931,1546539914810,51657726645401,47098588248396,24869292913,19700910506367,26889415025602,21974041114,0,0,461419382400,4559138397005,4527197780000,42132785732,-16942383661,6750214934,5550000000000,0,VCI,yearly
TPB,2015,1,44916145000000,492756000000,103296000000,4840169000000,145167000000,145167000000,0,0,20103264000000,20305296000000,-202032000000,17587557000000,17362211000000,476153000000,-250807000000,9360000000,10000000000,-640000000,77950000000,58148000000,19802000000,1556626000000,44916145000000,40555882000000,0,15981063000000,23966749000000,28363000000,181808000000,0,397899000000,4360263000000,4527198000000,42133000000,-10299000000,-198769000000,5550000000000,0,VCI,yearly
TPB,2014,2,30560403181952,311813558492,105795453383,1799018900809,173437140816,210291800663,-36854659847,25481290817,13641668012536,13817393811381,-175725798845,12475619751983,12015035311625,555677445720,-95093005362,9435959317,10000000000,-564040683,64512090014,49725766315,14786323699,1953621023785,30560403181952,26590943831801,280191559761,8464218491421,15601471485181,0,0,1818690000000,426372295438,3969459350151,4527197780000,42132785732,9295094649,-609166310230,5550000000000,0,VCI,yearly
TPB,2014,1,29690397838047,313745993478,36317076567,1935670416859,183878148810,210291800663,-26413651853,4390221265,13160509028538,13309012589327,-148503560789,11954833983332,11583354603984,437603343509,-66123964161,9435959317,10000000000,-564040683,65520428263,53170500671,12349927592,2026096581618,29690397838047,25862298760249,29362261740,7676316983222,15507260212464,0,0,2225742000000,423617302823,3828099077798,4527197780000,42132785732,4348510459,-745579998393,5550000000000,0,VCI,yearly
